answer_number,question_title,author_name,answer_url,created_time,introduction,regional,comment,comment_number
4,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Matt-Moneypenny,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#1084122023May 20, 2020 at 7:13:41 PM","Marketing and Sales Analyst at Etactics2017–present   ;BBA in Marketing Management, University of AkronGraduated 2016   ;Lived in Stow, OH   ;52.2K content views416 this month   ;Joined September 2018",America,The burnout situatio…,11
4,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Matt-Moneypenny,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#1084122023May 20, 2020 at 7:13:41 PM","Marketing and Sales Analyst at Etactics2017–present   ;BBA in Marketing Management, University of AkronGraduated 2016   ;Lived in Stow, OH   ;52.2K content views416 this month   ;Joined September 2018",America,… (,12
4,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Matt-Moneypenny,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#1084122023May 20, 2020 at 7:13:41 PM","Marketing and Sales Analyst at Etactics2017–present   ;BBA in Marketing Management, University of AkronGraduated 2016   ;Lived in Stow, OH   ;52.2K content views416 this month   ;Joined September 2018",America,view more),13
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America,"It depends on how the hospital, home health agency or hospice operate and their patient load.",14
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America, There were times when I had a load of 12 patients (,15
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America,post surgery),16
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America, to deal with.,17
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America, Then there was the time I worked as intake nurse and night call for hospice.,18
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America, We went from a patient count of 30 to 90.,19
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America," I was going 20 hours a day, getting very little sleep and dealing with really difficult situations.",20
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America," After 8 months of just barely surviving, I had major burnout and ended up in the hospital not knowing whether or not I’d live.",21
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America, That was the most extreme I ever incurred.,22
5,"How extreme is burnout for doctors, nurses, or other healthcare professionals?",Audrey-Koopmans-Albert,https://www.quora.com/How-extreme-is-burnout-for-doctors-nurses-or-other-healthcare-professionals,"#566052287December 18, 2018 at 9:28:54 AM","Former Retired RN1987–2003   ;Studied Nursing at Ohlone College, Fremont, CAGraduated 1989   ;Lives in Grants Pass, OR   ;137.5K content views1.7K this month   ;Joined January 2018",America," It was a nightmare, but I survived and a year later I was back in nursing.",23
6,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,David-Chan-316,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046374428April 14, 2020 at 2:44:56 AM","55.2M content views4M this month   ;Top Writer2018, 2017, 2016, 2014 and 2013   ;Published WriterFatherly, Time, HuffPost and 1 more   ;Active in 2 Spaces   ;Joined February 2012",,The teams of doctors nurses taking care of Covid-19 patients are quite different from those who do all the outpatient and elective hospital work that is done during normal times.,24
6,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,David-Chan-316,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046374428April 14, 2020 at 2:44:56 AM","55.2M content views4M this month   ;Top Writer2018, 2017, 2016, 2014 and 2013   ;Published WriterFatherly, Time, HuffPost and 1 more   ;Active in 2 Spaces   ;Joined February 2012",, So there will not be burnout when elective procedures are again permitted.,25
6,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,David-Chan-316,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046374428April 14, 2020 at 2:44:56 AM","55.2M content views4M this month   ;Top Writer2018, 2017, 2016, 2014 and 2013   ;Published WriterFatherly, Time, HuffPost and 1 more   ;Active in 2 Spaces   ;Joined February 2012",," Right now, my hospital has 70–80 patients with…",26
6,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,David-Chan-316,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046374428April 14, 2020 at 2:44:56 AM","55.2M content views4M this month   ;Top Writer2018, 2017, 2016, 2014 and 2013   ;Published WriterFatherly, Time, HuffPost and 1 more   ;Active in 2 Spaces   ;Joined February 2012",,(,27
6,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,David-Chan-316,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1046374428April 14, 2020 at 2:44:56 AM","55.2M content views4M this month   ;Top Writer2018, 2017, 2016, 2014 and 2013   ;Published WriterFatherly, Time, HuffPost and 1 more   ;Active in 2 Spaces   ;Joined February 2012",,more),28
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,"On the order of 90% of the problem is in 10% of the nation, and a great many doctors with their own practices are basically not working, the “net burnout” is likely to be small.",29
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,,30
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,The pandemic is currently seeing a great many hospitals which are nearly empty.,31
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,,32
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,"Instead of coronavirus patients, Syracuse hospitals swamped with empty beds",33
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,Mainly because “elective surgery” usage is basically zero.,34
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,,35
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,"Locally, hospitals are reducing hours for nurses.",36
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,, More nurses are idle here than are being “burned out.”,37
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,Coronavirus: Volusia/Flagler/St.,38
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,, Johns hospital bed usage is low,39
7,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Dave-Cunningham-35,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041587629April 9, 2020 at 9:45:34 PM",Former J.P. aeons ago   ;Studied at Massachusetts Institute of TechnologyGraduated 1968   ;4.9M content views65.4K this month   ;Active in 12 Spaces   ;Joined June 2014,,"Thus, it is highly unlikely that the US will have any nurse shortage due to burnout.",40
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America,"I think we will loose the older generation of nurses, either to disease or the realization that the job isn’t worth dying for.",41
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, So many employers are treating their nurses and others as expendable.,42
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, The lack or proper PPE’s is simply inexcusable.,43
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, Don’t tell me nobody knew a pandemic was coming.,44
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, It was so long overdue….,45
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, The reason for the shocking lack of PPE’s is simple.,46
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, Greed.,47
8,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Jill-E-Griffin,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1044088793April 11, 2020 at 10:46:27 PM","Worked at EMTs and Paramedics   ;Studied at Wake Technical Community College   ;Lives in New Bern, NC2010–present   ;16.9M content views761.4K this month   ;Top Writer2018   ;Active in 12 Spaces   ;Joined July 2015",America, Valuing money over the health and lives of their workers.,48
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s,"I had worked with doctors, nurses and allied staff in various hospitals in California and Massachusetts.",49
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s, Its been my experience of seeing these nurses in action as TOTAL heroes.,50
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s, They get assaulted.,51
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s, They get injured.,52
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s, They break bones.,53
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s, Stress is very high from EMERGENCY SERVICES to Surgical Floors and…,54
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s,(,55
9,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Max-Patrick-5,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1041799696April 10, 2020 at 1:22:58 AM",17.2M content views1.8M this month   ;Active in 11 Spaces   ;Joined December 2014,s,more),56
10,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Larry-Rafey,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054406783April 21, 2020 at 11:48:43 PM","B.S. in Microbiology & Infectious Disease & Microbial Genetics, American University   ;2M content views35.4K this month   ;Active in 2 Spaces   ;Joined February 2017",America,The U.,57
10,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,Larry-Rafey,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,"#1054406783April 21, 2020 at 11:48:43 PM","B.S. in Microbiology & Infectious Disease & Microbial Genetics, American University   ;2M content views35.4K this month   ;Active in 2 Spaces   ;Joined February 2017",America,S.,58
