序号,用户,id,点赞,时间,内容,label2
19,秋雨阿佳,1243327850,2,2020/3/15 9:20,看了一篇文章，心里堵得慌，假如行政管理人员从他们的业务角度出于良知顶上去，假如，。。。。你是一个有良知的人一个业务人员，用生命发出微弱的光指引着我们，你是一个最普通的人，如同我们每个人一样平凡，我们都要看到曙光了，可是你，你在天堂还好吗？        ,
20,Meeeeeeeelody,1249555831,3,2020/12/31 21:32,2020不平凡的一年，疫情肆虐，洪水吞没老家，老婆反目，工作不顺&nbsp;&nbsp;…&nbsp;&nbsp;&nbsp;中年男人是这世上最难的难人了，借款没还清、房贷要继续、小孩上学、老人年迈、夫妻矛盾爆发、工作已遇瓶颈…环视四周，全是需要依靠我的人，而我能靠谁呢[悲伤][悲伤][悲伤]&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;“你看，那个人好像一条狗”        ,
21,zsl1322,1255709795,3,2020/3/21 23:05,我今天写了关于你的文章，主要是探讨那个调查结果的        ,
22,Dr_Trans,1273458117,0,2020/12/30 9:48,一周年了，李老师        ,
23,天地道自然,1275937791,5,2020/3/21 15:24,“李文亮是名医生，一名好医生，他的逝世让我们所有人感到悲伤，他尽心尽职，非常专业，他从工作接触到的具体案例中识别有危险临近，从职业本能出发产生了警觉，但一开始，并不是所有人都能理解和认同，因为这是一种全新病毒，大家对其缺乏认知。”        ,
24,天地道自然,1275937791,0,2020/3/13 16:53,疫情快过去了，过来看看        ,
25,missevonne111,1290958607,4,2020/9/8 20:32,谢谢你李医生，开学了，一切都好，祝你在那边一切顺利[鲜花]        ,
26,玖灵精怪,1304605923,4,2020/6/7 20:19,今天看到一句喜欢的话，送给李老师         ,
27,犁耕耙耖,1335881581,1,2020/3/14 12:32,中国的哥白尼，中国医学界的哥白尼！        ,
28,毕汝杰,1338795862,2,2020/12/21 22:08,冬至快乐，我要流着泪看国企北投集团停水停电，我们800个学员要怎么办啊？我真的好想和你一起去吃小吃，一起远离这个可悲可笑的世界[泪][泪][泪][泪]        ,
29,毕汝杰,1338795862,2,2020/12/21 22:06,老李，今年曾为你偷偷流过泪，北京在5月就控制了疫情，本来以为我负责的校区，会在国企北京商业投资集团的关照下挺过去。想不到他们照收租金、物业费，总共92万，东借西凑还上了，想不到竟然以会计算错账为理由，让我们再付6万多块。周三他们就准备要停水停电了，我该咋办呀。[泪][泪][泪][泪][泪][泪]        ,
30,在B站跟着午饭饭学调色,1364704083,1,2020/12/30 15:05,同学，新年好。一年过去了，感谢你让更多人看到了不公，也让更多人认识了良知。        ,
31,邮酷客,1403465423,5,2020/5/15 19:50,我不是来打卡的。读《他的评论区》文章就想来看看，愿一切安好        ,
32,Howl的地盘,1405790135,0,1月31日 13:45,[伤心]//: 整整一年了，世界感染人数也超过一亿了        ,
33,Howl的地盘,1405790135,3,2020/9/8 16:33,//: 虽然表彰文章里没有你的名字，但我们不会忘了你        ,
34,Howl的地盘,1405790135,0,2020/2/7 8:54,[蜡烛][蜡烛][蜡烛]//: 嗯，我也曾看见有人在日记里写：“古来时常吃人，我也还记得，可是不甚清楚。我从包裹中翻出史书一查，这历史没有年代，歪歪斜斜地每页上都写着‘仁义道德’几个字。仔细看了半天，才从字缝里看出字来，满本都写着‘吃人’两个字。——鲁迅《狂人日记》        ,
35,乔志峰,1420398274,0,2020/12/30 16:10,"今天，李文亮医生又刷屏了。//: [蜡烛]从未忘记//:[拜拜] 一年了 , 不得不说 , 比无脑管控更无耻的就是无视或者不尊重一位医生的专业＆敏感性 ...  //:一年了，纪念李文亮烈士[蜡烛]        ",
36,老虾米了,1424104002,1,2020/4/12 23:21,晚安，神兽终于要开学了        ,
37,心理专家吴桐,1429288447,6,2月8日 10:25,善良的人还是多的。但很好奇的是，那些贬低、侮辱、嘲讽李老师的，都是些什么样的人呢？        ,
38,心理专家吴桐,1429288447,0,2020/2/6 23:39,我们会记住您的。谢谢。        ,
39,我爱合肥秋天,1449842852,7,2020/4/25 23:55,我同学他两周前乘飞机去广州出差。今天突然说那同一航班有人确诊了。他自己，整个单位都吓死了，因为已经上班十天了。下午拿到核酸结果，阴性。长呼一口气。。        ,
40,Haley-浩洁,1456503635,0,1月1日 09:03,李医生新年快乐！愿你的家人都安好！        ,
41,Haley-浩洁,1456503635,28,2020/9/8 14:49,李医生，全国疫情都稳定了，在户外可以不带口罩了，孩子们都上学了，英雄们被表彰了。你走的那天，我夜里喂奶看到的消息，大哭一场，现在我娃娃马上就会走路了。春天夏天都来过，想起留在冬天的你，觉得很难受。        ,
42,木瓶的空间,1498542762,6,2020/12/30 9:33,一年过去，除了庆功会，我们还学到了什么，反省了什么？更多选择型遗忘        ,
43,木瓶的空间,1498542762,6,2020/3/19 21:26,撤销了，公安正式道歉了 可惜你走了        ,
44,2012的第七日,1498587475,5,2020/12/30 20:37,一年了，跟你唠叨几句。这病毒确实不是SARS，后来叫CoVid-19，跟它比，SARS就是个弟弟。这一年，我们学了很多，口罩，呼吸机，隔离，核酸检测，双黄连，瑞德西韦，...我们现在关注的是疫苗和三期临床试验        ,
45,himnearahim,1536056883,1,2020/12/30 13:29,李老师，新年快乐！我们熬过来了        ,
46,sunking77,1557894610,7,2020/8/7 14:00,李师兄，我去年出了小车祸受伤了一直在断断续续住院吃药本来已经在陆续停药了结果又低钠了。今天立秋了想来看看师兄，我过几天还要去住院调药和复查，我不会转行的会继续做医生的争取早点上班。师兄要是还在应该也会希望我早日完全康复早日上班继续帮助更多的人吧。        ,
47,都是因为我运气好,1558352181,0,2020/9/8 0:39,今早上，两个患者在核酸检测的窗口和医护人员发生争执。开学半个月了，第一次看到吵架，我不相信是医护的问题。        ,
48,谈判专家潘黎,1567495250,2,2020/12/30 14:17,2020最值得纪念的吹哨人！是他的科学态度，维护着大家的信心和期望！        ,
49,yuanshan-sz,1613473693,1,1月31日 19:51,不会忘记！        ,
50,yuanshan-sz,1613473693,0,2020/12/30 11:51,希望2021年4月份的武汉马拉松照常举办，再次以42.195公里向学弟致敬！        ,
51,yuanshan-sz,1613473693,1,2020/12/30 9:33,“能”～～～“不明白”！        ,
52,yuanshan-sz,1613473693,0,2020/9/18 16:42,李学弟，在等汉马开跑的消息哦        ,
53,yuanshan-sz,1613473693,0,2020/9/8 14:10,真医者！        ,
54,yuanshan-sz,1613473693,3,2020/8/24 16:07,李医生，珞珈山满山桂雨的季节，快到了！        ,
55,yuanshan-sz,1613473693,9,2020/3/10 16:12,我们都“明白”，迟早他们也“明白”        ,
56,yuanshan-sz,1613473693,1,2020/3/7 9:05,“明白”！        ,
57,Carrie馒头,1614905410,5,7月23日 22:16,李医生，今天上课我提起了去年新冠疫情时国家的场景，内心想起了你…不知道你现在怎样了，祝好！        ,
58,Carrie馒头,1614905410,0,2020/12/30 11:26,一年了，李医生，预祝新年快乐！！！        ,
59,#NAME?,1628949965,0,2020/12/30 14:23,学长，新年快乐！        ,
60,同程杨方Frank,1629187103,0,4月7日 22:45,哲学问题，想多了，是不是会格格不入        ,
61,同程杨方Frank,1629187103,1,2020/12/19 8:32,烦躁不安 郁郁寡欢🥴        ,
62,一辈子28,1629876705,3,2020/3/17 8:53,早安，李医生！[心]我今天给学生要上四节课网课，希望你给我加油😊你也要保重自己[耶][耶][加油][加油]        ,
63,一辈子28,1629876705,4,2020/3/16 23:18,李医生，我们想你，你在那边还好吗？[心][心]        ,
64,Josh,1644809997,3,2020/4/2 10:44,机制的bug不是封堵信息传播为首要！而是信息确认、论证、公开才是关键，明确了再判断是否谣言进行处理这才科学符合可持续发展，尸位素餐蝇营狗苟只容得下好消息，所有负面信息都得封堵消失，真伪反而显得不重要了，如此早晚祸及国民！[怒]        ,
65,一路祈愿二月二,1649555974,5,2020/3/19 19:38,尊重科学，尊重事实，说真话，办实事，反对官僚主义，反对愚昧无知的一言堂        ,
66,沙啥萨飒调mvPmVp,1649827074,1,2020/11/18 15:04,文章终于送外审了。。这次希望有个好结果。。。我好想毕业。。最近又有点失眠，感觉焦虑症有点复现了，买了促睡眠的药，可是白天咖啡也不能停，下周中期考核，PPT还没做好。。可能又要回去上班了。。。真的好想毕业。。。。太难熬了。。。好难        ,
67,哒啦木嘛,1658905685,1,2020/12/30 13:29,老师 新年好 希望你一切都好        ,
68,晴间少云Sunny,1674633153,4,2020/5/10 18:52,对科学应该有敬畏之心。你很了不起        ,
69,溜达达Lydia,1677286024,7,2020/6/1 9:08,今天读的经济学人是关于你的，希望李医生六一快乐！        ,
70,木耳朵D生活,1686717400,0,2020/12/30 7:37,"坚持科学,相信知识好难        ",
71,抢相机,1691181091,2,2020/4/16 17:50,回复：师兄，要坚强        ,
72,天下大祭酒,1707500567,9,2020/12/30 9:40,江城边外江水流，城中太守歌舞休。 李桃不言蹊自成，文章知罪在春秋。 亮洁高风天下知，永夜恹恹悲黔首。 不知他年身何处，朽木风中雪满头。        ,
73,小温温是天才,1713086482,1,2020/8/14 21:29,李医生我要去考试啦。为自己加油！大家加油！        ,
74,南无木南,1719242581,3,2月6日 17:40,李医生去世一周年。 老师不是说您不能给公安唱赞歌，而是恳求您能关注到强权面前个人话语权的悬殊差距，帮忙一起推进法制的进步。        ,
75,一路At布,1730663685,1,2020/12/30 2:05,《为了忘却的记念》是近代文学家、思想家鲁迅创作的一篇杂文。        ,
76,岁岁喜,1733549837,0,2020/12/30 13:04,老师新年快乐。你救了好多人呢。来生一定顺风顺水[小红花]        ,
77,180度托马斯全旋能手,1736239877,2,2020/9/2 9:26,早啊李医生疫情防控成果很好学生都是按时开学[作揖]今天是开学第二天，交通压力有点高了，但是不影响我们出行。        ,
78,植草大王,1744543234,0,2020/12/30 11:04,文亮师兄保重        ,
79,草木西西,1746390181,6,2020/12/30 17:35,新年快乐～还记得入学面试的时候老师问，你认为疫情期间政府部门的应急响应还有哪些可以提高的地方？我说，希望可以提高预警信息的处理能力，如果能够把李文亮医生的提醒作为重要信息去分析，那后期不会造成更大资源的浪费。谢谢您的付出[作揖]        ,
80,终战之吻,1751078893,4,7月26日 16:40,灾难又来了        ,
81,终战之吻,1751078893,3,7月20日 22:33,来了，现在处处下雨，条条大路在一场大雨后变成条条大河，这是我们的人间，人间苦难的生活！        ,
82,终战之吻,1751078893,0,7月10日 23:05,又又来了        ,
83,终战之吻,1751078893,3,7月9日 23:02,又来了        ,
84,终战之吻,1751078893,2,7月3日 07:25,来了        ,
85,终战之吻,1751078893,1,5月30日 20:16,陪你躺平        ,
86,终战之吻,1751078893,4,5月14日 08:04,君不见，青海头，古来白骨无人收。新鬼烦冤旧鬼哭 ，天阴雨湿声声愁！        ,
87,终战之吻,1751078893,1,5月12日 22:08,地动山摇，韭菜无感        ,
88,终战之吻,1751078893,2,5月11日 22:08,天天有阴间新闻💊        ,
89,终战之吻,1751078893,7,5月8日 12:57,我们点亮光明，我们驱逐黑暗        ,
90,终战之吻,1751078893,11,5月4日 09:26,被红色污染的空气        ,
91,终战之吻,1751078893,4,4月23日 10:19,世界读书日，每个人都是一本书        ,
92,终战之吻,1751078893,0,4月20日 10:57,午安        ,
93,终战之吻,1751078893,0,4月13日 22:50,还会好吗        ,
94,终战之吻,1751078893,1,4月5日 22:21,万物清明，唯有珍重！        ,
95,终战之吻,1751078893,0,3月26日 22:13,沙尘暴来了        ,
96,终战之吻,1751078893,3,3月19日 22:14,生命本身不过是一件生物学的事实，有什么意义可说？        ,
97,终战之吻,1751078893,5,3月17日 21:53,想起他们的体内&nbsp;&nbsp;或许还存留着半支假疫苗&nbsp;&nbsp;双腿就发软了&nbsp;&nbsp;那些少年里藏着我的孩子“”        ,
98,终战之吻,1751078893,1,3月13日 21:04,，        ,
99,终战之吻,1751078893,0,3月3日 23:39,世事无常，纷乱嘈杂        ,
100,终战之吻,1751078893,1,2月25日 20:01,祝您晚安！        ,
101,终战之吻,1751078893,1,2月24日 23:25,晚安        ,
102,终战之吻,1751078893,2,2月20日 22:47,一切都是假的        ,
103,终战之吻,1751078893,2,2月14日 14:13,下雪        ,
104,终战之吻,1751078893,8,2月6日 22:17,“”我是一个“无神论者”，我不会问，李医生，你在天堂还好么？ 我关心、想知道，李医生的家人们的近况如何。 他的爸爸妈妈，身体还好么？ 他的妻子，还有两个儿子，一个现在已经6岁了，另外一个是2020年6月12日出生的，快8个月了，现在怎么样了？“”        ,
105,终战之吻,1751078893,1,2月1日 09:30,千百万次的训诫不如一次正确的执法        ,
106,终战之吻,1751078893,6,1月30日 21:04,您活在生者的心里，就是不死！        ,
107,终战之吻,1751078893,0,1月28日 11:28,午安！        ,
108,终战之吻,1751078893,3,1月20日 17:02,再渺小的人也值得为一段真实的历史背书        ,
109,终战之吻,1751078893,2,1月18日 22:57,我们在苦难中强忍悲伤， 我们在黑暗中藏着梦想        ,
110,终战之吻,1751078893,3,1月18日 10:23,人生本无意外，唯有死亡最真实        ,
111,终战之吻,1751078893,12,1月17日 12:17,他们的生活框金又包银，我们的生命是何等的不值钱        ,
112,终战之吻,1751078893,6,1月13日 12:20,秦人不暇自哀， 而后人哀之； 后人哀之而不鉴之， 亦使后人而复哀后人也。        ,
113,终战之吻,1751078893,2,1月11日 11:37,谁在自由之中寻求自由之外的东西，谁就只配受奴役        ,
114,终战之吻,1751078893,5,1月10日 21:23,倘若我呼喊，在魔鬼中间，有谁听得见？        ,
115,终战之吻,1751078893,2,1月8日 22:46,黄鼠狼下耗子， 一窝不如一窝！        ,
116,终战之吻,1751078893,10,1月7日 05:58,&quot;只要有一双真诚的眼睛陪我哭泣，就值得我为生命受苦。&quot;        ,
117,终战之吻,1751078893,6,1月6日 17:21,麻木不仁的日子，記錄，即是抵抗。        ,
118,终战之吻,1751078893,3,1月5日 08:24,所有聽說你名字的人 都知道你已遠去，白雪皑皑，江水蓝蓝，没有人知道你何时归来！        ,
119,终战之吻,1751078893,6,1月3日 09:11,在喉管上切一個口，吹哨。 在死骨上挫一個口，吹哨。 在病房上挖一個窗，吹哨。        ,
120,终战之吻,1751078893,0,2020/12/31 16:16,“你明白了吗？” 不明白！        ,
121,终战之吻,1751078893,1,2020/12/30 8:09,展        ,
122,终战之吻,1751078893,3,2020/12/28 8:42,炮火连天只为改朝换代，尸横遍野俱是农家子弟！        ,
123,终战之吻,1751078893,0,2020/12/26 20:05,毛鸡蛋        ,
124,终战之吻,1751078893,5,2020/12/24 6:48,原谅坏人，是对好人的不敬        ,
125,终战之吻,1751078893,2,2020/12/20 9:24,“末世多轻薄，骄代好浮华。……”        ,
126,终战之吻,1751078893,2,2020/12/18 23:09,你可以离开房间、关掉电视、表达不同的意见等，但这个世界上笨蛋总是无处不在，而且可能永远如此。        ,
127,终战之吻,1751078893,9,2020/12/17 22:20,如果只允许一种声音，那么这种声音便是谎言。        ,
128,终战之吻,1751078893,7,2020/12/16 19:16,卑鄙是卑鄙者的通行证， 高尚是高尚者的墓志铭， 停电是因为手里控制着闸门        ,
129,终战之吻,1751078893,4,2020/12/15 22:45,你瞧这些白云聚了又散，散了又聚，人生离合，亦复如斯        ,
130,终战之吻,1751078893,3,2020/12/14 10:12,有病不治，总有一天会病入膏肓！        ,
131,终战之吻,1751078893,7,2020/12/13 12:01,谁见过风呢？我和你都没见过，但是当树叶颤动，就知风吹过        ,
132,终战之吻,1751078893,7,2020/12/12 17:44,天空没有翅膀的痕迹，但是你已来过，留下残念，苟且偷生        ,
133,终战之吻,1751078893,10,2020/12/9 9:04,假如这个世界堕入黑暗，那么，吹灭最后一盏灯的，不是坏人的嚣张，而是好人的沉默！         ,
134,终战之吻,1751078893,2,2020/12/5 10:58,下流人在世人中升高，就有恶人到处游行        ,
135,终战之吻,1751078893,0,2020/11/29 14:00,加        ,
136,终战之吻,1751078893,1,2020/11/20 9:04,一定要比他们都活的更长        ,
137,终战之吻,1751078893,2,2020/11/19 16:49,一个人要退到哪里才不是江湖？        ,
138,终战之吻,1751078893,2,2020/11/17 10:33,乌托邦不需要掘墓人        ,
139,终战之吻,1751078893,1,2020/11/13 9:58,人世皆攘攘，流萤犹彷徨        ,
140,终战之吻,1751078893,0,2020/11/12 20:25,强者道之动弱者道之用        ,
141,终战之吻,1751078893,1,2020/11/11 18:26,甜蜜与痛楚结伴而行，痛苦总是追逐着欢乐，片刻也不愿分开        ,
142,终战之吻,1751078893,0,2020/11/8 18:21,指望所有人都成为朋友，但是最终还是饱受苦难        ,
143,终战之吻,1751078893,0,2020/11/7 21:10,面对荒谬，等待就是纵容        ,
144,终战之吻,1751078893,4,2020/11/6 15:23,去年今日，感慨万千        ,
145,终战之吻,1751078893,3,2020/11/5 10:35,既然为活命而工作，为什么又为工作卖命        ,
146,终战之吻,1751078893,6,2020/11/4 9:13,他说他们不需要自由        ,
147,终战之吻,1751078893,0,2020/10/28 22:47,量中华之物力结黑国之欢心        ,
148,终战之吻,1751078893,0,2020/10/26 11:20,珍惜德行，莫要成为荣誉的奴隶，因为前者是永恒的，后者却会很快消失“”        ,
149,终战之吻,1751078893,5,2020/10/25 14:03,“如果此后竟没有炬火，你便是唯一的光”        ,
150,终战之吻,1751078893,0,2020/10/24 15:55,困兽犹斗        ,
151,终战之吻,1751078893,2,2020/10/21 10:22,梧桐故叶下，寒露新雁飞        ,
152,终战之吻,1751078893,1,2020/10/18 15:50,[泪]        ,
153,终战之吻,1751078893,0,2020/10/14 13:09,快        ,
154,终战之吻,1751078893,2,2020/10/10 20:04,春夏秋冬又复回，怎奈天凉好个秋        ,
155,终战之吻,1751078893,1,2020/10/7 10:52,大厦轰然倒塌        ,
156,终战之吻,1751078893,2,2020/10/1 17:02,天堂的月亮圆又圆        ,
157,终战之吻,1751078893,1,2020/9/26 21:47,日子不好过        ,
158,终战之吻,1751078893,0,2020/9/23 21:42,咸鱼翻身还是咸鱼包        ,
159,终战之吻,1751078893,1,2020/9/22 22:28,十八年        ,
160,终战之吻,1751078893,2,2020/9/20 14:12,最美逆行者，丑        ,
161,终战之吻,1751078893,0,2020/9/19 22:03,来        ,
162,终战之吻,1751078893,1,2020/9/15 13:25,人靠衣裳马靠鞍，狗带铃铛跑的欢        ,
163,终战之吻,1751078893,9,2020/9/10 12:44,送你一枚心中最好的勋章！        ,
164,终战之吻,1751078893,0,2020/9/7 22:51,2020都是眼泪        ,
165,终战之吻,1751078893,0,2020/9/6 17:25,可怜无定河边骨，犹是春闺梦里人        ,
166,终战之吻,1751078893,0,2020/9/4 12:49,忍        ,
167,终战之吻,1751078893,0,2020/9/3 22:37,卡        ,
168,终战之吻,1751078893,1,2020/8/31 14:54,森林在唱歌，湖水不说话        ,
169,终战之吻,1751078893,0,2020/8/27 9:38,塌了        ,
170,终战之吻,1751078893,1,2020/8/26 22:37,打卡地        ,
171,终战之吻,1751078893,0,2020/8/26 10:02,虽是毒药，但喝无妨        ,
172,终战之吻,1751078893,0,2020/8/25 6:40,魔鬼说：我为正义站岗        ,
173,终战之吻,1751078893,0,2020/8/23 22:38,加速        ,
174,终战之吻,1751078893,2,2020/8/22 14:50,问渠那得清如许        ,
175,终战之吻,1751078893,0,2020/8/21 23:19,只有思想，没有常识，        ,
176,终战之吻,1751078893,3,2020/8/20 14:25,往事随风，却又保留几分荒诞        ,
177,终战之吻,1751078893,3,2020/8/16 16:59,李医生的家人怎么样了        ,
178,终战之吻,1751078893,1,2020/8/15 12:08,若批评不自由，则赞美无意义        ,
179,终战之吻,1751078893,0,2020/8/14 8:11,火车在加速        ,
180,终战之吻,1751078893,1,2020/8/13 10:33,做伟大社会的囚徒不好嘛        ,
181,终战之吻,1751078893,5,2020/8/11 6:56,正义要以人们看得见的方式加以实现。        ,
182,终战之吻,1751078893,0,2020/8/7 17:01,张玉环        ,
183,终战之吻,1751078893,1,2020/8/6 13:37,无罪        ,
184,终战之吻,1751078893,4,2020/8/5 15:49,他们笑着说，你们不需要自由        ,
185,终战之吻,1751078893,0,2020/8/4 11:25,视局        ,
186,终战之吻,1751078893,0,2020/8/3 14:10,爆        ,
187,终战之吻,1751078893,0,2020/8/2 22:17,视地狱为天堂        ,
188,终战之吻,1751078893,0,2020/8/1 15:09,平安        ,
189,终战之吻,1751078893,0,2020/7/31 8:52,无汗        ,
190,终战之吻,1751078893,0,2020/7/29 15:12,大连        ,
191,终战之吻,1751078893,0,2020/7/27 11:03,+        ,
192,终战之吻,1751078893,1,2020/7/24 13:35,关门大吉        ,
193,终战之吻,1751078893,0,2020/7/23 9:47,15,
194,终战之吻,1751078893,1,2020/7/22 13:49,大        ,
195,终战之吻,1751078893,1,2020/6/18 23:47,真理都是赤裸裸的， 谎言才需要包装        ,
196,终战之吻,1751078893,2,2020/6/17 16:27,"世界上只有两个东西是无限的，一为宇宙，一为人类的愚蠢，我所不能肯定的乃是前者。（Only two things are infinite, the universe and human stupidity, and I'm not sure about the former.）——爱因斯坦        ",
197,终战之吻,1751078893,1,2020/6/15 11:29,抱歉，此评论已被删除        ,
198,终战之吻,1751078893,0,2020/6/14 15:47,36?        ,
199,终战之吻,1751078893,5,2020/6/12 23:45,2个        ,
200,终战之吻,1751078893,2,2020/6/12 12:35,又一例        ,
201,终战之吻,1751078893,1,2020/6/10 22:34,孔乙己        ,
202,终战之吻,1751078893,1,2020/6/9 21:55,14.7,
203,终战之吻,1751078893,1,2020/5/31 22:01,啊        ,
204,终战之吻,1751078893,0,2020/5/28 14:43,14.6,
205,终战之吻,1751078893,1,2020/5/27 7:32,医生，你好        ,
206,终战之吻,1751078893,3,2020/5/12 11:37,忘记历史就等于背叛        ,
207,盖世英雄_LPM_JKF,1755346035,2,4月14日 19:28,今天看到一篇文章想起你了。愿你安好！        ,
208,Sundance_Kid_,1758059557,0,2020/12/30 12:08,学长新年快乐[鲜花]        ,
209,滋滋滋滋烤肉味,1764258683,1,2020/12/31 10:56,新年快乐李老师，谢谢您        ,
210,俊名医生,1766024794,2,2020/5/13 15:01,盼着神兽快点开学，好塌心上班，治病救人呢！        ,
211,祛疢,1768226900,0,7月17日 22:48,最近睡觉浑浑噩噩，心情反而压抑着没有兴致。这样不好不好！明天开始要读书看报健身养生，李医生晚安～        ,
212,火星驻地球办事处田主任,1770033270,7,2020/4/3 1:36,学长，你知道嘛？你成了烈士。学长，你是武大的骄傲。        ,
213,happy小黄6888,1776544012,6,2020/12/31 7:56,都是害人的、不作为的、怕丢乌纱帽的少数贪官污吏、不懂科学、不懂业务的害人精们的所为，害死了这么多医护、百姓！        ,
214,Christina_leilei,1779834583,5,2月1日 15:41,小李医生，在那个世界要好好的——来自于一直挂念你的师姐        ,
215,芸芸哦哦哦,1781245731,0,2020/6/12 9:51,滞留海外华人还不能回国，好艰难啊🙏🙏        ,
216,芸芸哦哦哦,1781245731,0,2020/6/12 9:49,恭喜🙏🙏        ,
217,芸芸哦哦哦,1781245731,1,2020/5/7 19:03,🙏        ,
218,芸芸哦哦哦,1781245731,4,2020/5/3 4:28,暑假了，留学生还是回不来，不知道怎么办🙏        ,
219,芸芸哦哦哦,1781245731,1,2020/4/29 4:17,🙏        ,
220,芸芸哦哦哦,1781245731,0,2020/4/26 1:18,🙏        ,
221,芸芸哦哦哦,1781245731,7,2020/4/22 21:41,🙏《财富》发布25名抗疫领袖，李文亮排第一，马云、王传福上榜        ,
222,芸芸哦哦哦,1781245731,2,2020/4/20 22:32,🙏现在为了保住抗疫成果，滞留海外的全世界的中国公民都不让回国，不知道什么时间解封        ,
223,芸芸哦哦哦,1781245731,0,2020/4/19 12:39,🙏不能回家的心痛        ,
224,芸芸哦哦哦,1781245731,3,2020/4/17 5:22,🙏        ,
225,芸芸哦哦哦,1781245731,0,2020/4/14 8:30,🙏        ,
226,芸芸哦哦哦,1781245731,1,2020/4/12 1:54,🙏        ,
227,芸芸哦哦哦,1781245731,2,2020/4/5 23:02,安息吧！现实依然寒心        ,
228,viizzz,1783968360,2,2020/12/31 0:36,新年快乐🎈今天看了心灵奇旅，我想你在那边一定是顶级导师了！        ,
229,发丝欧若,1784108811,0,2020/12/30 16:01,老师您现在是大V了，大家都会听你的[蜡烛][蜡烛][蜡烛]        ,
230,无敌幸运可爱安徽省最佳美少女,1788211505,5,2020/12/30 11:23,李医生，我现在的工作领导非常压榨人，试图让我连值白天晚班第二天照常上班，甚至威胁对我不客气，我已经在备考事业单位了，对自己有些没信心，但是我想坚持准备可以的，还有今天家里下雪了好冷啊[雪][雪花]        ,
231,SNH48-肥嘟嘟左卫门,1789794047,5,2020/12/30 11:51,李医生，我周末去看了心灵奇旅，太好看啦！您是不是也在那个世界当导师呢？        ,
232,苍木杨牛,1791398322,7,6月11日 08:50,李老师，幸好你没看到接下去这个越来越黑暗的世界        ,
233,Agulgant,1794083420,0,2020/12/30 15:27,学长新年快乐        ,
234,舍鱼歎若,1801350810,2,2020/12/30 22:27,最近心情不好，工作也磕磕绊绊，被拖工资，没有脱单…除了刚毕业那年，今年是最难的一年。工作六年第一次和父母要生活费，真是太难了。希望明年顺顺利利平平安安。        ,
235,何不茶悦,1806701603,4,2月1日 13:41,文亮哥，想你啦，想写去年写时候全网为你守候，还是没换你醒来        ,
236,何不茶悦,1806701603,6,1月25日 01:41,文亮哥，当年你被央视冤枉，现今官媒依然没学会核实事实，在没有确定证据的情况下，直接给郑爽判罪，促进了全民网爆，哎，舆论压到法治呀！        ,
