用户,id,点赞,时间,内容,label2
_爱吃水果_,6285029022,2,2020/8/16 1:05,我很不开心，一点都不开心，        ,1
_爱吃水果_,6285029022,2,2020/8/16 1:05,你还好吗        ,1
_爱吃水果_,6285029022,2,2020/8/16 1:05,我又来了        ,1
_爱吃水果_,6285029022,2,2020/8/16 1:05,嗨        ,1
_掬水月在手_,5714816567,3,2020/11/9 21:22,希望能顺利度过这一年，明年去另一个城市读书，晚安        ,1
_烈女怕缠郎_,7436077342,5,1月3日 08:53,新年好呀！！！我在准备期末考试，希望以后也能成为一名负责人的医生        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,1,2020/12/30 13:47,今天论文答辩被喷得腿软[失望][失望][失望][失望]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,0,2020/12/30 13:46,1年了[淚]        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,4,2020/4/8 15:01,[淚][淚][淚]武汉今天解封了 可是你再也看不到了 哭        ,1
_士多啤梨酱醬橙_Boieldieu_,6510481357,3,2020/4/5 8:05,[心][心][心]早安        ,1
_芝士威化饼饼,3212889697,3,2020/9/19 6:32,早上好，希望大学赶紧解封，我好想家        ,1
_芝士威化饼饼,3212889697,2,2020/9/18 22:14,今天大学开学，封闭管理，想家哭成了狗        ,1
·暄和,5555278685,5,2020/9/17 18:04,从实验室出来突然发现已经是桂花香气和银杏叶敲打的秋天 我还在医学的路上跋涉 奔向这个不断努力自我毁灭的行业[心]        ,1
·椰奶凍糕·,7260459432,8,2020/3/28 8:50,早上好，李医生，我们这里有点冷，我一大早就起来考试了！作文里写到了你！希望你一切都好        ,1
·予棠·,5368972611,6,2020/12/21 20:02,冬至快乐 李老师 还有5天就要考研了 但是我感觉自己就是去当炮灰的 唉[允悲] 重在参与吧        ,1
·予棠·,5368972611,0,2020/4/3 0:48,[蜡烛][蜡烛][蜡烛]        ,1
12楼的孤独科主任,7414592890,0,2020/12/30 12:55,新年快乐，李老师        ,0
180度托马斯全旋能手,1736239877,2,2020/9/2 9:26,早啊李医生疫情防控成果很好学生都是按时开学[作揖]今天是开学第二天，交通压力有点高了，但是不影响我们出行。        ,1
2012的第七日,1498587475,5,2020/12/30 20:37,一年了，跟你唠叨几句。这病毒确实不是SARS，后来叫CoVid-19，跟它比，SARS就是个弟弟。这一年，我们学了很多，口罩，呼吸机，隔离，核酸检测，双黄连，瑞德西韦，...我们现在关注的是疫苗和三期临床试验        ,0
2015斯,5884098821,8,2020/3/27 21:19,我今天考试 然后语文写议论文我写了关于你的事迹。真的让人泪流满面&nbsp;&nbsp;希望你在天堂一切安好……[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛]        ,1
2015斯,5884098821,0,2020/3/27 21:16,[蜡烛][蜡烛][蜡烛]        ,1
2021加油少年zqc,1807809290,0,1月1日 08:52,昨晚喝多了，新年真的要戒酒，不能对不起你！武汉昨晚很热闹，你家宝贝又大一岁了        ,0
2021加油少年zqc,1807809290,0,2020/12/30 18:38,又一年了，这一年好多人都过得很难，但是大多数人都活下来了。希望你在那边一切都好！我会一直为你家人祝福！🙇        ,0
2021小王要努力学习,6451754969,2,1月24日 20:34,老师今天讲到你了，我来看看你        ,1
2705801518xgAAK,5936201787,1,2020/8/31 16:59,孩子读研毕业了，今天当地做核酸检测，期待回家一路顺利！        ,0
2705801518xgAAK,5936201787,7,2020/6/2 12:28,李医生，您的同事胡卫锋医生来找你了 [泪][泪][泪]        ,0
2705801518xgAAK,5936201787,4,2020/4/28 21:37,每次来到这里，心里憋得慌。整个地球的疫情还远远没有结束的迹象        ,0
2705801518xgAAK,5936201787,2,2020/4/23 22:06,每天来这里看看，安好！李医生        ,0
2705801518xgAAK,5936201787,0,2020/4/21 21:56,晚上淅淅沥沥下雨了。安好！李医生        ,0
2705801518xgAAK,5936201787,3,2020/4/16 22:05,李医生，晚上好！国内疫情基本平息了，但在所有其它的国家爆发了，200多万人感染，难道真是人类灾难来临了吗？        ,0
2705801518xgAAK,5936201787,0,2020/4/6 22:32,[伤心][伤心][伤心]        ,0
2705801518xgAAK,5936201787,9,2020/4/5 22:55,凄寒的冬天过去了，春来了，花开了。李医生，你那也春暖花开了吧？        ,0
2幼玲,2151752111,3,3月8日 23:04,我多想再看你一眼        ,0
2幼玲,2151752111,2,2月25日 21:27,李医生 李医生 我好害怕 闺蜜们都订婚 结婚了 我还单着&nbsp;&nbsp;我的情况复杂 这是我隐藏在心底深处的伤疤 我不敢 真的不敢 我怕被别人抛弃 责任感 怎么寻找一个可以给我十足安全感的人呢        ,0
2幼玲,2151752111,2,2020/11/10 22:21,李医生 我肾脏移植后得了肺炎 暂住大姨家在县城医院治疗 前几天发现丢的一个黑色发卡在侄女的头上 在电梯上我问找不到的发卡怎么在你头上呀&nbsp;&nbsp;姨嫂说还以为是她同学的呢 私下里我把发卡送给了侄女 今天接她时我问她为何没戴 她说被妈妈丢垃圾桶了 我说了是姑姑送的 她是丢垃圾桶了d        ,0
2幼玲,2151752111,0,2020/9/13 22:27,理医生 我们活着都很难啊        ,0
2幼玲,2151752111,0,2020/9/13 22:27,：李医生 我又来了 我不知道自己是不是喜欢一个人 之前上高中我们关系不错 是闺蜜的关系 他10.1结婚我觉得他不该对我说喜欢我 我的三观不允许我入破坏别人他不该把我介绍给他女朋友那边的人&nbsp;&nbsp;他们就要结婚了 可是 就算他单身我也不敢接受 我真的好自卑 好自卑 好自卑 我的自卑把我自己按到深渊里        ,0
2幼玲,2151752111,3,2020/8/27 0:03,嗯。。不知道该怎么办 别人追我的时候我不喜欢 觉得烦 （ 主要自己太自卑了 脸上都是斑点长的也不好看&nbsp;&nbsp;）不追了我又觉得他怎么这样&nbsp;&nbsp;现在也觉得难过 不好看就算了 还得费钱的病 以后不可以要孩子 前世今生做了什么孽 不想成为别人的负担 想有自己的孩子 如果不是生病今年都该考研 李医生 你说该怎么办        ,0
2幼玲,2151752111,0,2020/8/21 22:06,不知道该说什么 就是有点想流眼泪        ,0
2幼玲,2151752111,0,2020/8/21 18:11,李医生 就和你大声的打声招呼吧 你好啊        ,0
2幼玲,2151752111,4,2020/8/21 18:10,李医生 还好么 我在2019做了肾脏移植手术 今年22岁 我还可以么        ,0
3是3和是和,3317389820,2,2020/6/28 11:01,李老师=海力布再世。        ,0
404SHOP音乐人周边店,5990743807,6,2020/9/20 3:14,为天地立心，为生民立命。为往圣继绝学，为万世开太平。李医生做到了生民立命。        ,0
574號貓咪飼養員,7232873468,5,2020/5/17 12:20,还好吗，写作文写到你啦        ,1
71-Corvus,5562616029,0,1月17日 16:20,嘿，我要考科三啦&nbsp;&nbsp;好焦虑&nbsp;&nbsp;新疆冬天驾照好难学好难考[泪]&nbsp;&nbsp;安好        ,0
71-Corvus,5562616029,3,2020/12/17 7:32,乌鲁木齐刚刚地震了 又是一晚通宵&nbsp;&nbsp;我鄙夷自己这样不健康的作息&nbsp;&nbsp;又无能为力……&nbsp;&nbsp;安好李医生        ,0
-7iiiiki,2513833532,5,2020/7/7 12:54,今天看到高考的作文题目了 想起你了        ,0
A_SUGAE,6886018403,1,2020/3/23 12:48,李医生，我也是一名医学生，今年正好毕业，可是作为大专生的我该怎么办，想努力，但是找不到努力的方向，自己难道就要比别人差吗        ,1
Adele911张小槑,2030806295,6,2020/3/28 11:14,每次看完你这篇文章还是泪流满面，虽然过去了很久，虽然看了很多次，心痛。        ,0
Adele911张小槑,2030806295,8,2020/3/28 11:13,文亮兄，我很难过，因为和你一样，我也不想张嘴是为了当哑巴。        ,0
Adele911张小槑,2030806295,3,2020/3/27 20:24,看着心里好难受。其实这一年也觉得世界对自己不公，但想想你我觉得都还好吧，没什么大不了的，都会过去。天灾就算我们没办法躲过最起码少出点人祸。希望以后更少的是人为的牺牲品。        ,0
Agulgant,1794083420,0,2020/12/30 15:27,学长新年快乐        ,0
airi22,5887202966,4,2020/6/12 11:34,恭喜李医生当爸爸了[鲜花]祝愿未来母女平安，希望以后政府，舆论，社会能更科学更包容更坦诚地直面社会突发事件，这其中也包括你我他🙏        ,0
ALPHAzqh,5682499844,4,2020/7/7 21:31,李大夫，浙江高考数学真的是，，我数学几个第二小题没做出来，我高中数学还学得那么努力真的快哭了，啊啊啊，，今年疫情，，去年又很难，为什么今年还是，，，，算了还是保佑我语文吧要求不高120左右加油加油明天英语加油😀😀😀        ,1
ALPHAzqh,5682499844,7,2020/7/6 21:51,李大夫我又来看你了，我明天高考，，求保佑哈哈，，为我加油吧        ,1
AlwaysTake1tEasy,2995961327,1,2020/11/16 23:21,都没忘记你[泪][泪][泪]我会考研加油的        ,0
Athena_xxL,1874217011,3,8月10日 01:29,病毒在疯狂的变异🧬 你应该很懂这些专业知识&nbsp;&nbsp;防疫 抗疫 带着口罩生活 多久会结束呢        ,0
augha30413,5625065009,4,2020/9/8 18:20,最近特累，特累，三甲复审，查房，护师考试，我都想猝死了，从昨天晚上9点40到现在，我终于……回家了        ,0
axzixl,5774176546,8,1月13日 14:54,李医生，今天上语文课的时候老师说要写抗疫英雄，我第一个想到你，但是他们好像并不知道你。[失望]        ,1
azurechai,1888233570,3,2020/11/25 14:49,小李医生你好。冬天来了，疫情又有散发。我们学会了不说，越来越沉默。        ,1
azurechai,1888233570,6,2020/10/8 19:43,小李医生，国庆假期最后一天了。疫苗快进临床试验了，祝我们早日研发成功。        ,1
azurechai,1888233570,4,2020/9/8 20:25,今天北京开表彰大会了。你永远在医疗界同事们心中。        ,1
azurechai,1888233570,2,2020/7/5 23:34,来看看李医生。一起祝愿北京的疫情早点结束。        ,1
azurechai,1888233570,3,2020/6/29 18:02,中考总算结束了，预祝今年的小娃娃们都有个好成绩        ,1
azurechai,1888233570,7,2020/6/14 13:22,恭喜二宝出生，希望一家人都平安健康！        ,1
azurechai,1888233570,3,2020/5/12 20:46,今天护士节呐。也问候一下小李医生        ,1
azurechai,1888233570,8,2020/5/7 20:07,昨天我们科援鄂医疗队的护士妹妹正式返回科室上班啦。我还看到她们和武汉工作同事的合影，真的是很艰难的一段征途。和小李医生说一声，请放心。        ,1
azurechai,1888233570,0,2020/5/1 22:51,小李医生，劳动节快乐！祝家人安康。        ,1
azurechai,1888233570,2,2020/3/28 14:58,今天我们学校在网上一起进行了英法双语疫情防控交流，很多学弟学妹都参加了。这个春天你若在，该多好。        ,1
baijialu27963,5512432379,1,2020/9/8 15:59,第一次来，希望您一切安好，我也大学顺利。你和外公都要在那边好好的。        ,1
Behappy1718,6511489852,6,2020/9/10 18:35,教师节快乐！唤醒心智的人，是最好的老师        ,0
Bepa_珺,2950616400,7,1月15日 23:49,你都成攻击国家的工具人了，虽然你不在了并不印象他们随时拿你做武器。你话太多了，派出所签个字的纸需要放网上吗？你太喜欢出名了，一个不是感染了专业医生，然后听了医院里的消息，你没有上报卫健委，而是开始提醒亲戚朋友群。你不是第一个知道的医生。是那个医生上报卫健委的。        ,0
bnsi_so,6350375132,0,2月6日 19:35,辛苦了        ,1
bnsi_so,6350375132,8,2020/12/14 20:31,12月14日星期一 李医生 来看看你 成都最近又爆发疫情 这是我离疫情最近的一次 今年半学期到现在为止做了两次核酸检测了 真的感受到了那种无力 希望一切快快好起来 我还想回家过年呢。        ,1
Burst58561,6871820990,0,1月4日 23:34,要考试了 祝我不挂科！        ,1
Burst58561,6871820990,0,2020/4/1 7:51,早        ,1
Burst58561,6871820990,2,2020/3/30 11:00,晴空万里[可爱]一览无余 您一定能看到吧[太开心]        ,1
Candyy22,2501002805,1,2020/4/4 7:08,李医生&nbsp;&nbsp;早呀&nbsp;&nbsp;我怕说了不该说的 不能说的&nbsp;&nbsp;你都懂 一切都会好起来的&nbsp;&nbsp;你会保佑我们的对吗        ,0
Candyy22,2501002805,3,2020/3/14 6:30,李医生，微信里的一篇文章让我来到了这里。看到这条微博后又让我内心无比的愤怒感再激起。编辑了好多文字删了改，改了删，都没办法表达内心的不满与怒恨，相信很多很多的人都会有这种心情吧！说再多都已无用，只愿你在另一个世界安好，也祝愿你的家人能够平安健康。        ,0
Carrie馒头,1614905410,5,7月23日 22:16,李医生，今天上课我提起了去年新冠疫情时国家的场景，内心想起了你…不知道你现在怎样了，祝好！        ,1
Carrie馒头,1614905410,0,2020/12/30 11:26,一年了，李医生，预祝新年快乐！！！        ,1
CC小煮饭,3032004333,7,2020/3/19 2:21,李老师，今晚的夜班很安静，这是您和所有武汉人换来的，病人越来越少了，你在那边怎么样，是不是和我一样，想着家人呢？        ,0
CC小煮饭,3032004333,6,2020/3/18 8:40,李老师，我们快撤离了，你来送我吗？        ,0
Christina_leilei,1779834583,5,2月1日 15:41,小李医生，在那个世界要好好的——来自于一直挂念你的师姐        ,0
Chuchure,7017736025,10,2020/9/8 15:04,谢谢您。我要去读研啦，舍不得爸妈哭了一早晨，还是要勇敢一些，毕竟学医的初衷是像您一样帮助很多人。我会加油的，替我加油吧⛽️        ,1
C-LI-MAX,7402944039,5,2020/6/20 10:26,写论文写到关于疫情防控的部分，就想起来您的微博看看，鼻头一酸        ,1
-CoolViVi-,5685535031,6,2020/9/8 12:54,李医生，你说我是工作还是考博啊，太纠结了，祝好[作揖]        ,1
CornuCopiae,3836676205,0,2020/12/31 1:59,还有六个小时就要考试啦，希望一切顺利        ,0
Cotllarriotdd,6259733039,12,7月24日 15:25,李老师 刚看完中国医生 我想您了 您现在变成小孩子了吧 开开心心的啊        ,0
crescentaventure-42,6605919796,5,2020/6/8 23:13,李医生，你好呀。第一次来这里评论呢。最近过得如何？希望你在那边过得好。最近我们学校要求写一篇文章，大家好像只是为了完成任务而完成任务。其实我对这件事情蛮认真的。决定写您了。很想你，李医生。        ,1
Croissant_Milk,5839612198,0,2020/12/30 15:20,李医生，我论文还好多没写完        ,1
Crystal-Miss-zhang,1860017227,10,2020/4/26 2:05,晚安啦 李医生 一直都有人记得你 [点亮平安灯]我真的想发自内心的问一声疫情什么时候彻底结束 大学毕业 我一个学法律的不顾家里反对死活要做空乘 现在疫情航班量少的可怜 公司又不给力 感觉这一年又要交代进去 学生时代的梦想还有很多……&nbsp;&nbsp;我最近常常后悔四年前的决定 您呢 您没有后悔过做医生吧        ,0
Curtis_CH,5338113484,5,8月13日 19:28,读博之后身体质量严重下降，真的要开始锻炼身体了，李医生，这一次我能坚持下来吗[泪]        ,1
Curtis_CH,5338113484,4,8月12日 22:08,因为疫情，我去香港交流的签证一直没下来，心里好烦，你说这疫情啥时候能好啊        ,1
C陈瑞瑞瑞,5351767759,2,2020/8/25 12:50,今年真的好艰难，我觉得我过得也很艰难，我希望大二了我可以过的舒服，经过了大一的不懂事，现在我也要考虑自己的未来路了        ,1
Danwonder,7414758476,1,2020/8/13 8:34,李先生，下学期我有好多考试……我好希望能一次过呀，沉寂了大半年，好累……        ,1
Davemissyou,3002943302,2,2020/6/23 16:20,2020寻求保命的一年；大家都太难了；研究生读的好累！心情沮丧时就想找亮哥聊聊天；        ,1
dcl专属小黑猫,7427962647,0,1月5日 08:33,新年快乐啊医生老师        ,0
dfbhnjkmnhh,6361511214,7,2020/4/14 17:03,李老师我是一名护士一名临时护士一名在岗位上工作了11年的老临时护士😃惭愧的很11年了还是临时护士没有真正加入到你们的队伍里，有多少次生活所迫想脱下来这身我爱了11年的白衣可是怎么也没有舍得，所以今年自己加油好好看书争取真正的加入到你们的队伍李老师给我加油        ,0
Dopamine122,6621306048,7,2020/4/11 19:03,我在写您的作文哦，感谢您，我们心目中的，勇敢的英雄        ,1
DOra了_了,5595031052,3,2020/4/4 7:53,早安，李医生，来看您了！您知道吗？春暖花开了，大家带上口罩复工了，孩子们也快要开学了，可是您却走了，我想，可能天堂里没有训诫书吧，也没有病魔。逝者安息，永远怀念您！[蜡烛][蜡烛][蜡烛][蜡烛][蜡烛][蜡烛]        ,0
doublegaovb,3898619658,4,2020/4/16 12:58,以后的作文一定有你        ,1
Dr_Trans,1273458117,0,2020/12/30 9:48,一周年了，李老师        ,0
drama0000,6448429212,0,4月26日 19:16,但是，你也不能这样啊，这让我很心寒，为什么对别人就看上去很懂道理的人，但是对身边的人就是另一种态度呢？有脾气和不分是非是有区别的，这也让我明白了少管闲事，大学的室友也只能是室友，只有丰富自己，让自己快乐才是最重要的。所以，我呀，也就为自己而活，做我想做的事，努力为那些值得的人奔赴        ,1
drama0000,6448429212,0,4月26日 19:11,后悔来这个宿舍，即使我很不容易考上大学，有时看到别的寝室那么友好，现在想想我们寝室，从一开始就闹了一架，中间好了之后，现在又闹了，每次都是小小的事情，我很想不通人与人之间多点包容，多点理解，不好吗？为什么脾气很大的人总喜欢给身边的人找事发脾气。只要有什么不对，就压制不住自己情感        ,1
drama0000,6448429212,0,4月26日 19:07,李医生，我又来了，每次有烦心事，我都会来你这，想必许多人和我一样吧！在这说出发泄自己的情感。我现在很想放假，想毕业了，因为我不喜欢这个学校，以及这儿的人，记得来这之前，我看到过这样一句话，你如果被哪儿的学校录取了，说明那儿有你的命主注定，但是我现在一点都不觉得，我后悔来这个学校，        ,1
drama0000,6448429212,2,2020/12/11 7:39,一个被子能解决的事，我要去买个毯子，那毯子放哪，放床上你们又说乱放东西，是不是脑壳有问题，还有各种各样的形式主义，真的被学院恶心死了，现在要放假了，又不具体通知，我他妈的，我们远处要抢票的，该买什么时候的，要是封校，学生去住哪？真的是一天天就干人不干的事。        ,1
drama0000,6448429212,1,2020/12/1 9:20,12月的第一天，不知道为什么现在只要听到一个老师的名字既害怕又厌烦难受[笑cry]更怕他叫我们去他的办公室，我是真怕了，不知道李医生你也曾为什么事情担心过呢？        ,1
drama0000,6448429212,0,2020/10/26 12:39,最近不知怎么，总会莫名的发脾气，想摔东西，一直在极力的控制，好难受，总是想摔碎所以东西，我该怎么办？整天都是昏昏沉沉的，熬日子，我还能能熬多长时间        ,1
drama0000,6448429212,6,2020/10/26 8:28,，李医生，来你这许个愿，嘴上说减减减，但还是一直吃吃吃，活该体重不变，希望自己真的可以意识到这个问题，然后控制自己，加油一百斤，等忙完这一段时间后 一定要恢复锻炼啊，还有，最近的表格材料，希望自己认真点，一次性完成好 给老师一个好印象，不要第一次就被骂 被认为没能力，一定要成功        ,1
drama0000,6448429212,0,2020/10/21 16:32,我一直相信带着一颗善良的心出发，会收获很多美好，但是善良并不是没脾气，脾气好也不是没脾气，让我难堪的人，不在乎我感受的人，我只能放弃和你再继续下去，我要为自己生活，做我自己。当你让我难受时，我已经知道，你可能已不再是我心中的你了，所以，我只能结束！        ,1
drama0000,6448429212,1,2020/10/1 17:19,双节快乐啊        ,1
drama0000,6448429212,1,2020/9/24 13:11,: 李医生，我每天都要遇见几件烦人的事，我也想乐观开朗的生活啊！可是我觉得生活就是和我过不去，是因为我一直在钻牛角尖吗？我要烦死了。        ,1
drama0000,6448429212,4,2020/9/23 8:57,早啊，最近经常来你这打卡，希望我能早日找到自己的目标，不要每天都这么难受了，想起你那时被大家不信任时，一定很无助吧！我也很无助，但，是和你不一样的无助，一个没有目标没有方向，没有努力的人生在困扰着我，也是我自己的问题，想做出变化，可是却又不知道怎样开始……        ,1
drama0000,6448429212,3,2020/9/22 8:18,李文亮医生，早安啊，我现在慢慢调整自己，希望自己不要再那么丧了，生活很骨感，一路上有许许多多的质疑以及各种困难，但是还是要努力一番的不是吗？现在没有得到的不代表以后也不会得到，是吧，李文亮医生！        ,1
drama0000,6448429212,5,2020/9/21 8:03,李文亮医生，你在那里还好吗？你为了人民牺牲，而我普普通通，一事无成 就已经好烦恼，看不到希望了，每天都好烦，好烦，来你这，找找生活的希望！        ,1
Dys7777777,5857451329,0,2020/8/19 10:41,希望我高考能被好学校录取啊        ,1
eAtheneum,6019258645,5,2020/12/31 0:59,天为你下起了雪&nbsp;&nbsp;双亲都挺了过来 您却永远停留在了2020 当看到这触目的红印那刻 想起史记里戎马一生的李将军面对刀笔吏的那刻 这一年全球都加入了战疫 疫苗也在科学家夜以继日的奋战下问世了 前不久🏥在门口举行了放飞和平鸽的仪式 纪念所有因疫而去的人们 想起海德格尔的四维体 快新年了天上安好RIP        ,0
eisbsb,7312307271,1,2020/9/28 0:40,好梦        ,1
eisbsb,7312307271,5,2020/3/31 19:51,叔叔，你知道吗，全球确诊超70万了，你说该怎么办啊[泪]        ,1
eisbsb,7312307271,7,2020/3/31 19:49,李文亮叔叔，你知道吗，高考延期一个月了，太好了，虽然我才高一[鼓掌]        ,1
Emilieee7,6312405815,4,2020/4/2 23:50,多希望能像您一样学医啊，哪怕为国捐躯        ,0
Emma在努力生活,3706048940,4,1月31日 20:35,李医生晚上好！我最近在忙转专业的事情啦 之前精神状态不好差几分去临床 掉在了医技 正在努力转 新的一年了 李医生 新年好[泪]        ,1
Emma在努力生活,3706048940,1,2020/7/19 8:15,早安        ,1
Eva796,6120559956,1,2020/9/28 16:41,李医生，不知道这次四级能过吗，我好好紧张啊        ,1
Farout-O-LSA-19,7407855942,1,1月3日 15:01,李老师新年好。        ,0
FFFBI_WARNING,6525493874,3,2020/6/18 23:41,考南京大学好难，可我不想放弃。要么是南大研究生，要么回家种地。        ,1
FFFBI_WARNING,6525493874,0,2020/2/7 0:23,[泪][泪][泪]        ,1
fffllehbhshh,7215803522,4,6月28日 20:03,医生，最近期末了好累啊，但是一想到你我又开始努力！虽然成为不了你这样伟大的人～但是希望努力和你一样成就自我，在那边要开心哦，那边也有病人需要你帮忙吧，不要太累哦        ,0
-Froid-,2805496793,14,2020/9/18 0:09,李医生，今天很失落，我联系的导师不太想收我，思考自己还是不够优秀努力。别人是无法理解我内心的伤口，我要强大了才可以自我愈合。我一定要对待每件事情都认真起来，我要完成我的梦想，虽然现在不知何去何从，明天会有好消息吧[泪]老李，晚安，我不能哭，小孩子才会哭，大人要坚强，我要学会长大。        ,1
F-Young-,7080478089,18,2020/9/15 22:55,一月三号你被“训诫” 今天九月十五号，抗疫宣传片说“一月三号中国与世卫组织 港澳台地区通报新冠疫情” 为什么同样一月三号你的话还是“造谣” 然后武汉被病毒沦陷……央视新闻后几天也依然说你是“谣言” 敢说他们真的不知道？        ,0
F-Young-,7080478089,14,2020/9/15 22:44,本来一个科学问题 政治说科学是谣言        ,0
F-Young-,7080478089,1,2020/2/6 23:49,执法机关的无知和滥用权力 令人可笑 令民众寒心 令我们觉得恶心 若问责任，政府机关没有责任吗？ 国家人民把权利交到你们手上 你们对得起谁？        ,0
G-baby-XT,5543740258,6,1月10日 22:01,新年快乐啊&nbsp;&nbsp;李老师&nbsp;&nbsp;&nbsp;新的一年冬天又来了&nbsp;&nbsp;&nbsp;然而新冠病毒还是没有被打败&nbsp;&nbsp;全世界都在与之战斗中&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;希望疫情早点结束&nbsp;&nbsp;&nbsp;希望您在天堂一切安好[泪]        ,0
gbbbbban,5737191985,1,2020/11/13 16:31,加油 希望我也可以考研上岸 浙工大        ,1
Genius_Lab_D,6569581281,2,1月3日 01:02,新年快乐，你是最好的眼科医生！        ,0
Good_丁,1935505221,0,2020/8/13 22:48,如果可以选择，愿意大学那年学医，这样遇到为难可以利用所学知识和你们并肩作战        ,0
Good_丁,1935505221,0,2020/2/7 1:14,希望李医生的家人能够平安        ,0
GooDer3029,6242276988,2,2020/7/24 12:30,毕业至今工作一年，很不开心。虽然一直努力工作，但是看不到回报。希望越来越好吧。        ,0
gty不吃煎蛋,5520447879,1,2月26日 18:21,李医生我现在有点头疼，四级分不高，马上开学了，收拾行李去武汉，又在焦虑着我的大学生活。但也是总有未来的吧？我得相信我自己。祝您家人安好。元宵节快乐！！        ,1
gugu咕儿,5675315192,6,2020/10/25 10:15,今天要写大学第一篇作文:不平凡的2020，想到了你，念安        ,1
GxxWlk-,6207426488,2,2020/3/28 12:28,李医生 今天是我们开学的第三天啦 一切都好 看到您的微博还是有点想哭 谢谢您🙏        ,1
hahageh,5494135664,0,6月8日 09:27,口语考试冲冲冲        ,1
Haley-浩洁,1456503635,0,1月1日 09:03,李医生新年快乐！愿你的家人都安好！        ,0
Haley-浩洁,1456503635,28,2020/9/8 14:49,李医生，全国疫情都稳定了，在户外可以不带口罩了，孩子们都上学了，英雄们被表彰了。你走的那天，我夜里喂奶看到的消息，大哭一场，现在我娃娃马上就会走路了。春天夏天都来过，想起留在冬天的你，觉得很难受。        ,0
happy小黄6888,1776544012,6,2020/12/31 7:56,都是害人的、不作为的、怕丢乌纱帽的少数贪官污吏、不懂科学、不懂业务的害人精们的所为，害死了这么多医护、百姓！        ,0
Hello董壯志,6575531731,2,2020/9/9 13:33,李老师，疫情已经过去了。祝你在天堂幸福        ,0
hhh999淘股吧,6306644043,0,2020/4/4 16:43,[白蜡烛][白蜡烛][白蜡烛]        ,0
hhh999淘股吧,6306644043,7,2020/4/2 20:50,李医生，新冠如今已经成为全球大爆发的瘟疫，你当初不经意的一声哨响，谁也不会想到会有今天这个样子！        ,0
hhh999淘股吧,6306644043,1,2020/3/28 11:43,昨天我们这下雪了，还打了雷！        ,0
hhh999淘股吧,6306644043,7,2020/3/19 20:29,李医生，调查结果出来了，我觉着还是很客观的，其它的不说了，人的生命是最重要的，在抢救你的调查里，我想没有人敢拿抢救你的生命开玩笑，医院应该是尽力了，太遗憾了，你还是走了。。。希望，你在那边过得好。        ,0
hhh999淘股吧,6306644043,4,2020/3/17 15:48,李医生，现在，我们胜利了，中国胜利了，你要是还活着多好，哪怕是现在还住在医院，哪怕是最后一个出院，，，只要你还活着！        ,0
hhh999淘股吧,6306644043,2,2020/3/17 15:36,李医生，现在，武汉好了，中国也好了，世界却病了。中国肩负重大责任，正在拯救全世界！继续为中国加油！        ,0
