序号,用户,id,点赞,时间,内容,label2
16,殇锝狠深,1011086441,1,6月11日 22:35,李医生，我的店开业了，生意不好，不知道该怎么办        ,
17,殇锝狠深,1011086441,0,6月8日 13:16,情敌见面分外眼红，哈哈哈，我今天终于体会到了，心里堵得慌        ,
18,殇锝狠深,1011086441,0,6月6日 19:33,我在吉林省长春开了个泥炉烤肉，纯鲜肉现切现拌，有在长春的朋友可以来尝尝，一份足半斤，地址长春市南关区经开5区北门，地图可以找到，名字就叫泥炉烤肉，欢迎大家来打卡        ,
19,殇锝狠深,1011086441,0,6月6日 19:32,李医生，忙了好几天，我的小店今天开业啦！        ,
20,殇锝狠深,1011086441,0,5月31日 18:13,好久没来了，我开店了，刚开始试营业，生意不好，哎！烤肉店新鲜牛肉现切现拌怎么就没人呢？        ,
21,殇锝狠深,1011086441,0,5月22日 17:36,今天痛失两位院士，两位英雄，我看到消息后泪不由自主流下来了，痛心，袁爷爷感谢有您，孟爷爷，谢谢您，老先生千古，一路走好[泪][泪][泪][泪][泪][泪][泪]        ,
22,殇锝狠深,1011086441,0,5月20日 13:25,好难        ,
23,殇锝狠深,1011086441,1,5月17日 08:11,我来啦        ,
24,殇锝狠深,1011086441,0,5月14日 09:07,好久没来了，最近太忙了，租了个房子，装修完没放味，熏死我了        ,
25,殇锝狠深,1011086441,2,5月3日 10:22,劳动节快乐        ,
26,殇锝狠深,1011086441,0,4月29日 11:41,刚才看了火箭升天直播，好激动啊        ,
27,殇锝狠深,1011086441,0,4月27日 20:59,好累        ,
28,殇锝狠深,1011086441,0,4月25日 00:45,最近失眠严重，真想让人给我一棒子，直接揍晕        ,
29,殇锝狠深,1011086441,0,4月21日 20:42,唠叨一下，打算自己创业 项目选好了，就差口味，租的房子要到期了，开店的房子还没找，好着急呀        ,
30,殇锝狠深,1011086441,0,4月21日 20:41,嗨，我来啦        ,
31,殇锝狠深,1011086441,0,4月19日 19:47,李医生，我心里没底，我姥爷今天检查，肺部有阴影，我害怕[泪][泪][泪]百度了一下，心里更没底了[泪][泪][泪]        ,
32,殇锝狠深,1011086441,0,4月17日 10:10,嗨，我来啦        ,
33,殇锝狠深,1011086441,0,4月14日 18:53,创业属实不简单啊        ,
34,殇锝狠深,1011086441,2,4月12日 22:19,嗨，李医生，和一个人相处了11年，如今即将要分开了，有点失落，既然没结果，就好聚好散吧，彼此相忘于江湖        ,
35,殇锝狠深,1011086441,0,4月8日 08:36,早，找了好几天地方，好累呀，租金真高啊        ,
36,殇锝狠深,1011086441,0,4月4日 22:55,来啦        ,
37,殇锝狠深,1011086441,2,4月3日 20:30,清明了，你还好吗        ,
38,殇锝狠深,1011086441,0,4月2日 00:05,晚安        ,
39,殇锝狠深,1011086441,1,3月12日 21:37,来啦        ,
40,殇锝狠深,1011086441,0,3月10日 22:40,我来啦        ,
41,殇锝狠深,1011086441,0,3月6日 22:19,哎！等啊是最难熬的        ,
42,殇锝狠深,1011086441,0,2月28日 08:40,哎        ,
43,殇锝狠深,1011086441,0,2月26日 22:13,元宵节快乐        ,
44,殇锝狠深,1011086441,0,2月25日 22:05,元宵节快乐        ,
45,殇锝狠深,1011086441,2,2月19日 11:42,哎        ,
46,殇锝狠深,1011086441,0,2月16日 16:52,刚才看到杨耀辉姥爷去世了，我难过，那个老人很慈祥，带给我们好多快乐，可是就这样一病不起，离开了大家[泪][泪][泪][泪]        ,
47,殇锝狠深,1011086441,0,2月16日 10:18,嗨，还好吗        ,
48,殇锝狠深,1011086441,0,2月13日 08:51,李医生，过年好        ,
49,是那个枝枝吖,1055593551,1,7月28日 15:50,李医生 感觉疫情又开始严重起来了 我接下来要去复试了 好紧张 也不是怕过不了 是害怕过了的话工作内容我跟不上 学不好 怕没人带我 完成不了工作 也害怕压力很大 我该怎么办呀[泪]        ,
50,是那个枝枝吖,1055593551,0,7月1日 21:00,我画的好垃圾啊为什么总是画不好 我怎么那么废啊[悲伤]我要是一直进步不了该怎么办啊…我真的好想好想把画画做成工作……李医生我真的可以吗？我最近一直在犹豫 我害怕我会失败 我失败怕了[泪][泪][泪]        ,
51,树叶烧酒,1157756764,0,8月8日 03:52,睡不着呀 好烦 白天还要考雅思[悲伤]        ,
52,树叶烧酒,1157756764,0,7月1日 01:21,好想谈恋爱 我想全心全意去爱一个人 可以吗        ,
53,树叶烧酒,1157756764,1,6月20日 02:14,世间所有幸运都错开了我        ,
54,树叶烧酒,1157756764,1,6月20日 02:13,大半夜的睡不着 还是想那个五个月之前离开我的人…………我好没出息        ,
55,树叶烧酒,1157756764,2,4月28日 00:31,好想被爱 好想被爱        ,
56,老窝头,1215895202,10,8月12日 22:06,有一个老师因言获罪被拘15天，第一时间就想到了您，哎。        ,
57,世间清景是微凉1,1273194181,0,8月15日 20:28,李医生，我们又要上网课了，疫情之下，好难过        ,
58,bling酒酒,1275588357,0,8月9日 21:10,发生了好多事，疫情又严重了，奥运会我们的成绩很好，国外的山火，全世界旧轮胎墓地着火了，大象回家了，不知道以后会怎么样，地球从来不需要我们拯救，我们是拯救自己，希望大家保护好环境。好怕没来得及看看这个世界的景色。就被人类弄的千疮百孔，        ,
59,bling酒酒,1275588357,0,7月23日 17:12,李医生愿安好        ,
60,bling酒酒,1275588357,0,6月13日 21:46,庆余年2要拍了        ,
61,bling酒酒,1275588357,0,6月12日 14:34,端午了，记得吃粽子        ,
62,bling酒酒,1275588357,0,6月4日 22:35,晚安💤        ,
63,bling酒酒,1275588357,0,5月31日 22:18,真快呀，明天六一了        ,
64,bling酒酒,1275588357,0,5月13日 23:54,失眠的夜&nbsp;&nbsp;&nbsp;晚安        ,
65,bling酒酒,1275588357,0,5月11日 20:36,一定会越来越好[微风]        ,
66,bling酒酒,1275588357,0,4月5日 17:07,🙏        ,
67,bling酒酒,1275588357,1,4月2日 22:42,晚安&nbsp;&nbsp;李医生        ,
68,bling酒酒,1275588357,0,3月30日 17:07,春暖花开，我们会越来越好        ,
69,bling酒酒,1275588357,0,3月19日 16:31,下雨了        ,
70,bling酒酒,1275588357,0,2月18日 18:00,愿健康平安安稳的度过一生        ,
71,萌妹子的爹,1306423334,2,8月15日 22:11,我便觉得医学并非一件紧要事，凡是愚弱的国民，即使体格如何健全，如何茁壮，也只能做毫无意义的示众的材料和看客，病死多少是不必以为不幸的。——鲁迅。🥃🥃🥃        ,
72,萌妹子的爹,1306423334,0,7月27日 15:31,🕯️🕯️🕯️        ,
73,在这人人人,1427797543,0,7月20日 08:29,李老师 遇到了不敢面对又必须面对的事情 好难熬啊[泪]        ,
74,悄悄怡然,1495027277,2,7月29日 21:37,这次奥运会最希望女排能赢了。没别的，就是希望郎平能🈶️一个好的结果，感觉她这一辈子的职业生涯太不容易了！可往往就这么天不随愿！唉！        ,
75,悄悄怡然,1495027277,1,7月29日 21:32,北京居然也又有疫情了，有些小区居民居然在昨天夜里被召集连夜做核酸检测。今天北京又下了一天雨，很多公园都关闭了。这一天天[思考]        ,
76,Teichill花花打卡阵地,1510185004,1,7月21日 08:16,又要开始努力考试了，文亮哥，希望你也好好的        ,
77,Teichill花花打卡阵地,1510185004,1,7月20日 09:27,早上好啊，李医生～        ,
78,胡小芸芸芸追星星,1578415823,0,8月13日 08:23,早上好，李医生，又到周末啦        ,
79,胡小芸芸芸追星星,1578415823,0,8月12日 08:17,李医生，早上好呀，周四也要打起精神来，马上快考试了，心有点烦躁        ,
80,胡小芸芸芸追星星,1578415823,0,8月6日 08:21,早呀，李医生，最近被领导说得比较多，可能是在帮助我成长吧        ,
81,胡小芸芸芸追星星,1578415823,0,8月3日 08:25,李医生，昨天头好晕，回家就躺下睡觉，现在好多了，今天是繁忙的一天        ,
82,胡小芸芸芸追星星,1578415823,0,8月2日 08:19,每到周一就觉得好难，不想上班        ,
83,胡小芸芸芸追星星,1578415823,1,7月16日 07:31,李医生，发现应届毕业的小朋友跟我拿一个薪水，做人还是不要比较得好，不然会心累        ,
84,胡小芸芸芸追星星,1578415823,2,6月29日 00:03,李医生，我又来了，忙碌的周一，头疼回家就睡觉，但是还是被头痛痛醒过来，吃了药，躺着看看评论，希望身体赶紧恢复，迎接周二[鼓掌]        ,
85,胡小芸芸芸追星星,1578415823,3,6月19日 18:38,李医生，好喜欢周六，可以睡个懒觉，发发呆        ,
86,胡小芸芸芸追星星,1578415823,1,6月14日 19:21,李医生，端午安康，从湖北回成都动车上[爱你][爱你][爱你]        ,
87,胡小芸芸芸追星星,1578415823,1,6月13日 13:54,李医生，端午节安康，到湖北恩施梭布垭石林以及大峡谷一游        ,
88,胡小芸芸芸追星星,1578415823,0,5月31日 08:21,李医生，周一啦，马上六月        ,
89,胡小芸芸芸追星星,1578415823,0,5月30日 16:33,周末都没出门，活着就很开心，忘掉不愉快        ,
90,胡小芸芸芸追星星,1578415823,0,5月12日 08:18,李医生早呀，今天又是工作日，要加油呀        ,
91,胡小芸芸芸追星星,1578415823,0,3月31日 22:17,我会继续努力哒[打call]        ,
92,胡小芸芸芸追星星,1578415823,0,3月29日 10:05,一大早被领导批评，自己做的工作内容都不清楚[允悲]        ,
93,胡小芸芸芸追星星,1578415823,0,3月22日 08:44,早上很早醒，但是又不愿意起来，心情低落 ，对事情提不起兴趣，大概是想要的太多，但是自己还没能力拥有        ,
94,六月的娜美,1613974372,0,8月11日 11:07,分手了，尤其在我马上住院手术前分手了，我心拔凉拔凉滴，算什么男人        ,
95,六月的娜美,1613974372,0,7月27日 19:11,芜湖疫情，唉，真的烦，全城核酸检测。 明天下午我还要去医院，希望可以尽快手术，希望可以在开学前恢复好。真的谁也靠不住，也不指望任何人。升级打怪的路上，只有自己更加强大，才能成为最终胜利者✌        ,
96,六月的娜美,1613974372,1,4月29日 23:20,马上五一到了，虽然五天假，但是最累的一次，为什么要调休！！！        ,
97,苏牧鹤,1616908695,1,8月7日 10:32,老家村里又开始打狗了，说是防治黑热病，可咱也从头到尾没听过黑热病在医院病例        ,
98,苏牧鹤,1616908695,2,7月30日 11:20,李医生，在现在单位干两年多了，兢兢业业，秉承少说话多干活的原则有事往前冲有问题努力想办法，然而最近单位有同事闹别扭领导给员工开会的时候杀鸡儆猴，一刀就把我给宰了，心塞，考虑换个工作环境了        ,
99,麦田依存,1623116253,1,8月6日 00:36,李医生，深夜睡不着又想起了你。失眠的时候翻看起自己19年前的老照片，当时第一份工作还签在武汉，毕业坚定想着要留在南方，但是现在自己飘着飘着就一路向北，也不知道自己向往的生活在哪里。可能，一直在远方吧。        ,
100,麦田依存,1623116253,2,6月12日 23:14,李医生，今天端午回了趟家，几年没回家里变化真的挺大的，通了地铁，修了高架。有时候想想在家乡生活应该也不错。但是还是按耐不住要往大城市走。人啊，走着走着就忘了来时路。也担心自己是不是选错了城市去生活。        ,
101,麦田依存,1623116253,0,3月6日 21:22,李医生，今天又去医院针灸了，顺便做了核酸，路过急诊的时候看见病人自己一人取注射液交费心里咯噔一下难受，一个人的城市漂泊真心不易。        ,
102,麦田依存,1623116253,0,3月5日 22:48,李医生，半夜睡不着来爬留言，工作为什么永远都做不完呢。。。突然想去做老师，还有寒暑假。放假的时候真的好想好想去看看大海。        ,
103,麦田依存,1623116253,0,2月27日 22:01,李医生，今天达叔走了。我这一个月也在医院来来回回的奔波求医，有时也会停下来想，人为什么活着？人这一生，是不是太累了。。。想不出答案，但明天还要努力摆正情绪做一个稳定的成年人。[失望]        ,
104,麦田依存,1623116253,1,2月19日 13:54,李医生，谢谢你，新年生了场病，才发现身体健康真的是最重要的事！        ,
105,奋斗的Moo,1652737403,1,8月14日 00:10,李医生，明天大乐透开什么呢？        ,
106,奋斗的Moo,1652737403,0,8月10日 11:01,李老师[心][心]        ,
107,奋斗的Moo,1652737403,4,8月8日 10:33,李医生早 怎样克服懒癌[汗][汗]我休息日躺着不想动        ,
108,奋斗的Moo,1652737403,2,6月20日 08:34,老李，今天接种第二针新冠疫苗…文亮，父亲节快乐[泪]         ,
109,疯猴,1660771797,15,8月15日 23:36,文亮兄 请保佑张文宏 让医学归医学 其他都滚蛋        ,
110,向北的南方高速,1662669901,1,8月4日 01:23,李医生，想起上上个春节假期那个晚上不停刷着手机看关于你的报道，哭的稀里哗啦。今晚，我又想哭，但不是因为你了。度过了难熬的一年多，什么时候才能真正学会不抱期待但积极努力地活着啊？        ,
111,若竹兔,1666983751,1,8月17日 20:09,太难了 坚持 坚持 坚持        ,
112,若竹兔,1666983751,1,8月14日 16:00,有一个非常重要的考试 我需要炮火猛烈攻击坚持一个月 加油💪        ,
113,若竹兔,1666983751,0,8月13日 15:26,快考试了 最后28天 制定个计划 冲刺冲刺        ,
114,若竹兔,1666983751,0,7月21日 23:45,真的别再下了 晋城已经下了三四天了 郑州热搜还未褪去&nbsp;&nbsp;焦作也上热搜了&nbsp;&nbsp;看着周边的邻居遭殃 心里也很难受 第一次这么讨厌下雨 听见雨声就烦        ,
115,若竹兔,1666983751,2,7月21日 00:15,真的好难受 希望河南平安 希望不要再有灾害 真的太难了        ,
116,若竹兔,1666983751,2,7月8日 20:11,生活开始给我这个小鸡崽子放泡椒了 可能最最难的时候挺过去了 但依旧还要继续 新的环境毕竟不大容易 熬吧 总要给生活加点料        ,
117,若竹兔,1666983751,1,6月28日 21:46,一天一夜的压力 我终于哭出来了 哭了也没有得到释放 我好难受 压力好大        ,
118,若竹兔,1666983751,0,6月22日 01:06,失眠了        ,
119,若竹兔,1666983751,0,6月22日 01:02,我终于变成了自己讨厌的样子        ,
120,若竹兔,1666983751,2,6月11日 15:36,准备考试 每天都累到想吐 又不敢去医院检查 我懦弱 我不想面对现实 不去医院就好像没病了一样 我今年就这一次机会 不想放弃 压力很大 每天都鼓励自己要挺过去        ,
121,若竹兔,1666983751,0,5月11日 11:07,李医生 越长大越知道 自己身边其实没有人真的爱自己 是什么感受&nbsp;&nbsp;养了孩子才知道原来他们真的不爱自已 是什么感受 经历了很多事 发现 谁也靠不住        ,
122,若竹兔,1666983751,2,3月18日 02:49,夜很深了 我还是睡不着 我好想说说心里话 有些人就那么好奇别人的家庭 别人父母是做什么的 或者从外观判断这个人有没有背景 外面表示微笑 心里嘲笑 我懒得跟她解释        ,
123,若竹兔,1666983751,0,3月6日 23:54,李医生&nbsp;&nbsp;在本单位干的不是很痛快 想换个岗位 不知道怎么处理和解决这件事        ,
124,若竹兔,1666983751,2,3月4日 23:02,李医生 一直睡眠不好&nbsp;&nbsp;想吐 后背疼 心慌 有的时候觉得自己快死了 又害怕去医院 不想面对 觉得自己骗自己 好难受        ,
125,若竹兔,1666983751,0,2月19日 20:55,跟老公闹意见 都不能畅快淋漓的大吵 因为没有时间        ,
126,Ashelyxiao,1676659121,3,8月18日 00:32,最近对太多事感到失望，迷茫，心情浮躁又无能为力，这个世界会好吗？要努力保护张文宏这样的人，中国社会需要更多这样正直有才干的专家学者，我们需要好医生。        ,
127,Ashelyxiao,1676659121,0,5月24日 23:14,最近总爱哭，不知道是不是抑郁了，泪点低。对一些小事也总是斤斤计较，曾经觉得自己很坚强，现在却活得像个易碎品。袁老走了，看到遍地花海，想起了你。看到悼念袁老的视频就忍不住爆哭，我对孩子说你一定要做自己喜欢的事啊，妈妈想做自己喜欢的事。感觉一个时代在离我远去，明天会好吗？        ,
128,Steaker_,1683116140,1,7月18日 03:56,李医生，希望我几天后的那个考试能过，考了几次了。最近太久没好消息了，诶。最近压力真的好大。        ,
129,cccycycy,1728521452,2,54分钟前,李医生，倒计时个位数了。每天看着这个倒计时无比的焦虑。备考了大半年，模拟题还是做的一塌糊涂。好想放弃，但是又不甘心。        ,
130,cccycycy,1728521452,1,56分钟前,李医生，节日快乐呀        ,
131,cccycycy,1728521452,0,7月25日 23:52,李医生，快考试了。但是进度还是很慢，不能合理保证60分呢。        ,
132,cccycycy,1728521452,2,2月11日 19:47,李医生，今天是除夕，一年了。疫情还没有过去，但是大家的生活都恢复了正常。虽然还有反复，但每个人都从容的对待。今年很多人都不能回老家过年，不能与家人团聚。但是平安就好。来年大家都要更好        ,
133,下一秒鐘,1757734423,1,8月6日 19:58,河南的12123还没修好，疫情又反复了，哎，增个驾真难……        ,
134,下一秒鐘,1757734423,0,7月22日 22:21,河南挺住！        ,
135,下一秒鐘,1757734423,1,7月19日 20:05,李医生，我明天B2驾照科目二考试，保佑我一把过吧……        ,
136,白白白日梦患者,1764861654,0,8月13日 02:18,又有一点点焦虑        ,
137,白白白日梦患者,1764861654,1,8月11日 18:26,最近是真的在为自己生活，挺好的，很享受现在的状态        ,
138,白白白日梦患者,1764861654,0,8月2日 15:29,亮哥，很讨厌自己现在懒惰又有点一事无成的样子        ,
139,白白白日梦患者,1764861654,0,7月28日 18:15,出成绩了，意料之中，过了a岗的线，没过b岗，非应届太难了        ,
140,白白白日梦患者,1764861654,1,7月25日 00:58,都是他给她的        ,
141,白白白日梦患者,1764861654,0,7月23日 19:51,加油        ,
142,白白白日梦患者,1764861654,0,7月23日 17:52,乱乱的        ,
143,白白白日梦患者,1764861654,0,7月21日 21:09,头好疼，可是马上又要考试了，状态不好[泪]        ,
144,白白白日梦患者,1764861654,0,7月15日 00:57,今天有点丧，想起某个不该想起的人更丧        ,
145,白白白日梦患者,1764861654,0,7月12日 16:01,心不定，烦躁，身体上还不舒服        ,
146,白白白日梦患者,1764861654,0,7月1日 00:24,和一些不知名的消极情绪        ,
147,白白白日梦患者,1764861654,0,7月1日 00:23,一百周年的喜悦与祝福        ,
148,白白白日梦患者,1764861654,0,6月30日 23:52,希望温柔        ,
149,白白白日梦患者,1764861654,1,6月30日 22:19,今天出了成绩，这半个学期没有教好，孩子们成绩不理想，反思[失望]        ,
150,白白白日梦患者,1764861654,0,6月26日 13:33,快放假了，真好        ,
151,白白白日梦患者,1764861654,0,5月24日 23:19,希望都安好[鲜花]        ,
152,白白白日梦患者,1764861654,0,5月17日 14:03,我是肚子真的很难受，要不是因为难受谁愿意费那个劲 请假呀[泪]        ,
153,白白白日梦患者,1764861654,1,5月17日 00:57,我还真的挺喜欢他的，到现在还没忘哈哈        ,
154,白白白日梦患者,1764861654,1,5月5日 19:24,不知道为什么，这两天频繁的想起他        ,
155,白白白日梦患者,1764861654,0,5月1日 16:47,最近真的累的浑身疼，还没打疫苗        ,
156,白白白日梦患者,1764861654,0,4月22日 20:49,明知道有些事情没必要生气，可是就是生气，而且是小肚鸡肠那种生气        ,
157,白白白日梦患者,1764861654,1,4月10日 21:45,你看，我有很多事情要做，有很多人要见，所以他不算什么，真的会慢慢忘掉的        ,
158,白白白日梦患者,1764861654,1,4月6日 22:32,好累呀        ,
159,白白白日梦患者,1764861654,0,4月6日 21:35,看到自己班的一些学生家长对孩子的漠不关心，担心自己为了也不能做一个合格的家长        ,
160,白白白日梦患者,1764861654,1,4月5日 20:43,穷        ,
161,白白白日梦患者,1764861654,1,4月3日 22:23,想有个人陪        ,
162,白白白日梦患者,1764861654,0,3月29日 22:51,在没有他的日子里更好好生活        ,
163,白白白日梦患者,1764861654,0,3月28日 23:03,今天偶然间和他擦肩而过，也没有太大波澜，应该会更好吧        ,
164,白白白日梦患者,1764861654,0,3月25日 06:06,好累呀，怎么这么多事处理不完        ,
165,白白白日梦患者,1764861654,0,3月21日 11:42,好累        ,
166,白白白日梦患者,1764861654,0,3月18日 23:07,对不起啊，我已经崩溃了        ,
167,白白白日梦患者,1764861654,1,3月16日 19:34,糟心事好多，哭了        ,
168,白白白日梦患者,1764861654,0,3月15日 19:56,今天太多烦恼了        ,
169,白白白日梦患者,1764861654,1,3月14日 21:36,成年人的快乐都是碎片式的        ,
170,白白白日梦患者,1764861654,0,3月11日 22:07,碰上无赖家长真的好难，明明她的孩子弄伤了别人家的孩子，别人买的商业保险报出来的钱还想全部霸占过去，各种找事情，很糟心也很无语[哼]        ,
171,白白白日梦患者,1764861654,2,3月8日 21:14,好饿，也好想哭        ,
172,白白白日梦患者,1764861654,1,3月7日 22:47,明知道感情这种事情不应该寄托于他人而应学会与自己的独处可是还是做不到        ,
173,白白白日梦患者,1764861654,0,3月7日 16:15,我真希望自己能放声大哭        ,
174,白白白日梦患者,1764861654,1,3月7日 10:30,当不再喜欢他的时候，每天对他的讨厌就会再多一点点        ,
175,白白白日梦患者,1764861654,0,3月2日 22:39,想要一针酒精麻痹自己        ,
176,白白白日梦患者,1764861654,0,3月1日 22:05,难过呀        ,
177,白白白日梦患者,1764861654,1,2月28日 22:34,如果可以重来，我希望不要见到他[泪]        ,
178,白白白日梦患者,1764861654,0,2月28日 00:17,很难想象要跟一个人搭到一起        ,
179,白白白日梦患者,1764861654,0,2月26日 22:18,元宵节快乐        ,
180,白白白日梦患者,1764861654,0,2月26日 22:17,我知道我是特别的，可是我不知道的是我是不是最特别的那一个        ,
181,白白白日梦患者,1764861654,0,2月25日 22:25,我也想找一个合适的人呀，可是哪有那么简单        ,
182,白白白日梦患者,1764861654,0,2月25日 02:24,又开始了报复性熬夜        ,
183,白白白日梦患者,1764861654,2,2月24日 01:40,明明知道那么伤心却没法抽身出来实在自虐吗        ,
184,白白白日梦患者,1764861654,0,2月14日 23:58,情人节快乐        ,
185,相扑打疫苗,1769438772,0,8月14日 23:00,老李，工作了这么多年了，还是下定决心出来好好静静心，好好读读书，重新梳理下自己的知识，拓展下视野。以后回忆时，希望能让自己觉得今年的决定是正确的。        ,
186,相扑打疫苗,1769438772,1,6月13日 23:07,对的，庆余年2要开机了，好多朋友都来告诉你了，大家都还记得你，谢谢你，老李。欧洲杯也终于开赛了，不知道你是不是球迷，反正有啥新鲜事我们都会来跟你说一声。曾经我们看着在球场上奔跑的球员，好多都离足球越来越远了，也还有一些成了教练，站在场边指导那些精力旺盛的年轻人，就像舍甫琴科一样。        ,
187,相扑打疫苗,1769438772,1,4月4日 00:41,春天来了，北京的花开的可漂亮了，还是喜欢北方的气候，又冷又热，花朵颜色也五彩缤纷的，比较大气。说了这么多，今天是清明节，想亲人，也有你。        ,
188,相扑打疫苗,1769438772,2,2月11日 23:44,过年啦，老李，相信现在的你在的地方和武汉也和北京一样充满了欢乐和祥和        ,
189,多动_羊,1769816475,11,8月8日 15:19,李医生，东京奥运会今天是最后一天，咱们国家的运动员以38金32银18铜的成绩画上了圆满的句号。真是了不起啊！当然，没有得到奖牌的运动员也是超级棒的！毕竟付出了那么多，几个人能做到呢～大家平安凯旋就好呀～        ,
190,多动_羊,1769816475,0,8月7日 08:06,早啊～今天立秋了，时间过得真快啊～        ,
191,多动_羊,1769816475,2,8月1日 07:42,李大夫早啊～这几天大北京终于天晴了，天空好美～可惜，国内疫情又抬头了。医护人员真是太辛苦了，愿大家都平安🙏        ,
192,多动_羊,1769816475,5,5月4日 20:08,刚看了最新一期《典籍里的中国》，这次讲的是《本草纲目》，里边有一句李时珍的话，我想应该也很适合您：身如逆流船，心比铁石坚，望父全儿志，至死不怕难。 青年节快乐[心]        ,
193,多动_羊,1769816475,0,4月6日 22:10,我又来啦～        ,
194,好甜好甜的甜果砸,1775279644,1,8月13日 20:44,哦 对了李医生 因为我年初去接种了hpv 所以新冠疫苗一直拖到这周才打的        ,
195,好甜好甜的甜果砸,1775279644,2,8月13日 20:42,李医生 我快要考试了 我准备两年啦&nbsp;&nbsp;希望我能有个好成绩        ,
196,好甜好甜的甜果砸,1775279644,0,7月28日 19:33,李医生 希望疫情能快点过去        ,
197,海洋顶端,1780975610,1,8月10日 07:55,这届奥运会我们成绩不错        ,
198,____Arrow,1791760164,3,今天 00:07,李医生，医师节快乐，今年执业医师考试延期还没有开考，今年之后我就跟你一样正式成为医生了        ,
199,Babyface998,1800261431,1,8月13日 02:22,李医生 明天我就科三考试了，希望能过。        ,
200,看到我不能,1818898697,1,8月8日 21:44,我出成绩啦李医生！！岗位第一[泪][泪]面试通过再来告诉你哦[悲伤]        ,
201,看到我不能,1818898697,0,8月6日 19:17,考编快出成绩了好激动！！        ,
202,看到我不能,1818898697,1,7月31日 15:08,明天要考试了，加油！！        ,
203,虾米小夏夏,1843651123,2,8月4日 02:57,睡前来看你，前阵子看了电影《中国医生》，就想到了你，最近全国各地疫情又小小的爆发了，不过你不用担心，现在肯定会处理好的。我近期的日子过得一地鸡毛，头发也掉了很多，压力超大，刚刚又把文章投出去了，希望这次有好结果，睡了，晚安[月亮]        ,
204,LLR7733,1859390020,2,8月14日 15:25,李医生，我明天去出发去昆明培训，26号进山去学校报到，十年前起心动念过去山区支教，眼见就要达成了。希望我们都值得拥有一个更好的世界。        ,
205,LLR7733,1859390020,1,7月27日 23:27,李医生，我在慢慢恢复状态，我会调整好，会乐观起来，会成为更好的人。        ,
206,LLR7733,1859390020,2,7月19日 23:08,泥沙俱下，因为你，我依旧愿意相信人世间的美好。九月去支教，希望一切顺利，希望我能带给学生们我想带给他们的东西，也希望有学生的人生轨迹因为我的出现而发生重大改变，哪怕只有一个，这一趟支教，也值了。        ,
207,LLR7733,1859390020,3,7月17日 18:05,李医生，我通过了山区支教的第一轮面试        ,
208,LLR7733,1859390020,5,7月16日 20:57,李医生，我的支教申请，简历审核过了，明天视频面试，自由发挥模拟给学生上课，突然发现自己胸无点墨，担心自己会误人子弟        ,
209,LLR7733,1859390020,5,7月15日 15:58,李医生，我填写了支教申请。        ,
210,LLR7733,1859390020,2,7月15日 02:02,晚安，李医生，我一定会把自己找回来。        ,
211,LLR7733,1859390020,1,7月13日 17:16,其实，不论在哪个城市待着，我都是一个人吃饭。        ,
212,LLR7733,1859390020,3,7月9日 17:30,李医生，最近发现，我把曾经的那个自己，弄丢了……        ,
213,LLR7733,1859390020,0,6月29日 21:58,好想收养一条流浪狗        ,
214,LLR7733,1859390020,0,6月28日 00:12,李医生，远离颠倒梦想，真心不易        ,
