用户,id,点赞,时间,内容,label2
AGuaiso,2359440202,0,6月15日 22:02,[纸飞机]两年一个月十一天～～～终可像朋友般坦然聊天～愿各自安康快乐[嘻嘻]偶尔还是想起，是美好的存在呀        ,0
AGuaiso,2359440202,0,6月14日 21:39,[纸飞机]连续工作的第29天～安好安好[嘻嘻]        ,0
AGuaiso,2359440202,2,6月13日 06:49,早～&nbsp;&nbsp;[纸飞机] 能爱自己是种妙不可言的能力[嘻嘻]         ,0
AGuaiso,2359440202,3,6月12日 18:53,前天单位老领导给了筐海鲜粽，昨天门卫大叔给留了荔枝，今天同事小姐姐送来碱水粽和黄皮果～加班辛苦算啥～[嘻嘻]愿安康[纸飞机]        ,0
AGuaiso,2359440202,0,6月12日 06:00,[纸飞机]煎粽子～早上好         ,0
AGuaiso,2359440202,0,6月11日 12:43,[纸飞机]失而复得的喜～在途37天的敦煌邮戳[嘻嘻]         ,0
AGuaiso,2359440202,0,6月10日 22:02,[纸飞机]可以更好～        ,0
AGuaiso,2359440202,1,6月9日 20:26,[纸飞机]不加班的夜晚，空调风吹出Jazz Suite No.2的旋律[嘻嘻]        ,0
AGuaiso,2359440202,2,6月8日 23:23,[纸飞机] 听 一块红布 也想你呀        ,0
AGuaiso,2359440202,0,6月6日 00:05,睡不着[二哈]做了一罐泡萝卜[嘻嘻]         ,0
AGuaiso,2359440202,1,6月4日 05:21,[纸飞机]听雨醒～早呀        ,0
AGuaiso,2359440202,0,6月1日 15:40,六一 接种第一剂新冠疫苗，略头疼，嘴巴有些麻木[二哈]        ,0
AGuaiso,2359440202,0,6月1日 06:55,黑咖啡、芒果、煎蛋、烤枣馒头与第二组曲很配[奥特曼]早呀早 [嘻嘻]        ,0
AGuaiso,2359440202,0,5月31日 19:13,[纸飞机]叨叨时刻路过工地～工地上传来“当冬夜渐暖”～～听完书籍推送，入本新书《正午之魔》        ,0
AGuaiso,2359440202,0,5月30日 21:38,听着老肖8个版本Jazz suite NO.2 看完《人类砍头小史》        ,0
AGuaiso,2359440202,1,5月30日 19:04,晚饭煎鳕鱼+煎五花肉和煎芒果🥭加班得好好吃饭[纸飞机]        ,0
AGuaiso,2359440202,0,5月29日 08:03,加班～好好吃饭 好好睡觉 好好爱自己[奥特曼]         ,0
AGuaiso,2359440202,0,5月27日 22:54,#这一秒脑子里浮出的歌词[干杯]我也很想他在某个地方 孙燕姿[纸飞机]        ,0
AGuaiso,2359440202,0,5月27日 00:39,夜空绽放月亮，心中装下阳光～下午的茶汤意识徜徉         ,0
AGuaiso,2359440202,1,5月24日 07:50,二〇二一年五月最后一周，五月天的惊喜会如期而至嘛  [干杯]        ,0
AGuaiso,2359440202,0,5月23日 18:47,#想拥有快乐的能力[奥特曼]        ,0
AGuaiso,2359440202,1,5月22日 14:07,送你一朵小红花，请也照顾好他🕯️        ,0
AGuaiso,2359440202,3,5月22日 13:53,周六：加班—买菜—煮好紫薯粥和韭黄炒蛋 一个人也要好好过[纸飞机] 不急不慌[兔子]        ,0
AGuaiso,2359440202,1,5月22日 09:37,加班的周末～蛋煎毁了，青海地震～愿安好[纸飞机]         ,0
AGuaiso,2359440202,0,5月20日 05:24,四点起床，煲上粥，五点钟听鸟鸣～[纸飞机]        ,0
AGuaiso,2359440202,0,5月18日 12:01,[纸飞机]梦太真实～[奥特曼]不是一场空        ,0
AGuaiso,2359440202,1,5月17日 22:38,结束一个月的岛屿生活～你好吗？我很好[纸飞机]         ,0
AGuaiso,2359440202,1,5月16日 12:05,南海[纸飞机]         ,0
AGuaiso,2359440202,0,5月15日 07:37,[纸飞机]追赶日光 两小时         ,0
AGuaiso,2359440202,1,5月14日 19:33,#从前很慢 [纸飞机]         ,0
AGuaiso,2359440202,0,5月13日 19:49,[纸飞机]晚风清凉         ,0
AGuaiso,2359440202,1,5月12日 10:59,2008年5月12日14时28分，武汉一中高中三二班徐老师的英语课。讲台左侧的电视机突然晃动、灯管、风扇开始摇晃...同学屈直喊了一句地震了！小个子的语文老师魏国勤从办公室匆忙赶到（头发都飞起来）查看我们的情况[奥特曼]～～愿安好[纸飞机]         ,0
AGuaiso,2359440202,4,5月11日 19:19,[纸飞机]         ,0
AGuaiso,2359440202,0,5月11日 18:43,miss you too[纸飞机]         ,0
AGuaiso,2359440202,3,5月10日 16:11,[纸飞机]         ,0
AGuaiso,2359440202,2,5月8日 20:38,岛上的云         ,0
AGuaiso,2359440202,0,5月7日 19:52,他说：考虑考虑我反正我不嫌弃你～我想：你太优秀，还是做旅途伙伴，直到只能一人上路～[纸飞机]感谢你顺路陪着到敦煌，我也搀扶着你进藏[二哈]         ,0
AGuaiso,2359440202,4,5月7日 08:54,2021.5兰州-敦煌-格尔木-可可西里-西藏[纸飞机]         ,0
AGuaiso,2359440202,3,5月5日 00:23,布达拉[纸飞机]         ,0
AGuaiso,2359440202,1,5月2日 06:31,[纸飞机]风走了八千里～（2021.5.1.17:22）         ,0
AGuaiso,2359440202,0,4月30日 09:45,2021.4.30 9:44 兰州 中川机场麦当劳 播放 陈奕迅《是但求其爱》[纸飞机]        ,0
AGuaiso,2359440202,0,4月18日 12:07,梦太真实哈哈～[干杯]梦里见梦里见[纸飞机]        ,0
AGuaiso,2359440202,1,4月16日 22:39,Blur的Jets 太妙～有空听听[纸飞机]        ,0
AGuaiso,2359440202,2,4月13日 20:12,好久不见[纸飞机]留了个位置给你呀[小红花]愿此生无虞        ,0
AGuaiso,2359440202,0,4月8日 00:13,历历万乡[纸飞机]        ,0
AGuaiso,2359440202,0,4月4日 11:32,清明[纸飞机]        ,0
AGuaiso,2359440202,0,4月1日 22:54,四月了，好久不见呀～我挺好[纸飞机]        ,0
AGuaiso,2359440202,2,3月14日 20:51,来看看，无以言说的周末～[小红花]        ,0
AGuaiso,2359440202,1,3月7日 02:30,一年十个月个月零二十七天原是自己将自己困在情绪的牢笼里～停止自怨自艾，还是可以填词，写文，种花，健身，四处走走，原来的自己多可爱[小红花]再见照照～～～[纸飞机]感谢奇葩说！         ,0
AGuaiso,2359440202,0,3月3日 20:07,[小红花]想你的日子都早睡，也许会照进梦里[干杯]        ,0
AGuaiso,2359440202,2,2月27日 17:06,Miss you so so much[纸飞机]        ,0
AGuaiso,2359440202,2,2月14日 19:45,风走了八千里，也还是想念你         ,0
AGuaiso,2359440202,1,2月12日 00:23,牛年，也想你呀[纸飞机]心里的洞自己填哈哈牛犇犇[干杯]        ,0
AGuaiso,2359440202,0,2月11日 14:06,喜欢我的人儿和我喜欢的人都留在了帝都[纸飞机]你、我、他 平安喜乐[心]        ,0
Ahsol,6732592940,0,8月7日 17:20,李医生 我又丧了 我才调整好了一天 我不仅没有男朋友 也没有游戏了 我感觉我不敢相信任何一个朋友了 我现在连号被封掉都不知道是谁弄的 我听着朋友和她男朋友一起玩游戏 才想到我是一个没有游戏也没有男朋友的可怜鬼        ,1
Ahsol,6732592940,0,8月6日 22:10,我想开学了李医生 我讨厌现在        ,1
Ahsol,6732592940,0,8月6日 22:08,我好难过啊 我感觉所有坏事都一起来了 发生什么我都在努力坚持不掉眼泪 可是中午吃外卖看到了一只虫子在里面我哭了好久 我感觉我挺不住了 我真的好难过        ,1
Alpenbelieve,5750961448,0,8月15日 21:28,现在德尔塔又有点之前的势头了，希望国家早日控制住，确诊人数清零。另外现在已经是秋天了，祝愿自己秋招顺利，找个好工作，通过中期答辩，顺利毕业！        ,1
Andadora_,7354541063,2,7月27日 16:15,亮哥，我今天凌晨4点从梦中惊醒，梦到自己申请的学校全部都被拒了……最近真的焦虑到睡不着觉，还有两天就出结果了，我真的很希望能被录取...        ,1
Angry-Cactus,6044678573,1,7月21日 22:17,看到郑州学生乐团安抚乘客好感动 就想到你了        ,0
ANTA_Cheryl,5970381217,3,8月16日 14:00,李医生，我开始工作了，感觉很奇怪，心里一直觉得自己还是个学生，怎么就要变成大人了呢？听她们聊结婚生子买房的话题，心里觉得很隔阂。希望我早点熟悉工作流程吧，好好干！        ,0
ANTA_Cheryl,5970381217,0,7月14日 13:17,李医生，一年多了，时间还是会冲淡一切        ,0
ANTA_Cheryl,5970381217,1,5月30日 17:06,李医生！我省考上岸啦，好开心，不用再做无业游民了。        ,0
ANTA_Cheryl,5970381217,1,4月29日 16:07,李医生，我进面了...但是还不知道到底能不能上岸，好紧张啊。想在今年找到工作——        ,0
ANTA_Cheryl,5970381217,0,4月12日 19:43,李医生，今年我能找到工作吗..        ,0
ANTA_Cheryl,5970381217,0,4月9日 20:18,李医生，我又来了。去年就什么事也没做到，好害怕今年也会一事无成啊。明明这么大的人了...为什么这么没用。        ,0
Aommyan,5382608934,4,8月1日 03:49,李医生 这次期末我又进步了 要是生化能正常发挥可能都第一了 有点小小遗憾吧 选择学医这条路我不后悔 下学期要继续加油呀 好好学诊断病理！        ,1
Aommyan,5382608934,1,5月2日 17:12,李医生好久没来看你啦 这学期我拿奖学金了！以后我要继续好好学专业课 以后成为和你一样优秀的医学！！        ,1
As_The_Stars_Fall,5270468732,4,7月27日 05:45,面试成绩99.2分，虽然面试有点紧张，但还是不错的，激动了一晚上没睡好，今天去见一位大学时候的好兄弟，好朋友，好怀念大学时期，可惜再也回不到大学了        ,1
As_The_Stars_Fall,5270468732,3,6月11日 11:51,今天去拿教师资格证哈哈哈哈        ,1
As_The_Stars_Fall,5270468732,0,5月6日 03:43,晚安        ,1
As_The_Stars_Fall,5270468732,0,5月4日 02:50,青年节快乐！        ,1
As_The_Stars_Fall,5270468732,1,3月9日 19:48,并不是妈妈眼中的骄傲        ,1
As_The_Stars_Fall,5270468732,0,3月4日 21:31,对了李医生，魅族18出了，可惜白色版前面板不是白色的，可能魅族17前面板白色成为了绝唱        ,1
As_The_Stars_Fall,5270468732,1,3月4日 21:28,李医生，我还在肝毕业论文，再也不等到deadline了，以后能早一点是一点[悲伤]        ,1
Ashelyxiao,1676659121,3,8月18日 00:32,最近对太多事感到失望，迷茫，心情浮躁又无能为力，这个世界会好吗？要努力保护张文宏这样的人，中国社会需要更多这样正直有才干的专家学者，我们需要好医生。        ,0
