序号,问题,地址,用户名,回答时间,用户介绍,国籍信息,回答内容
11,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Janis-Tribble,"#1046328843April 14, 2020 at 1:47:52 AM","Former Advertising account manager at Companies1979–2001   ;B.S. in The Mind, The Great Courses   ;Lives in South Carolina1994–present   ;6.6M content views96.8K this month   ;Active in 32 Spaces   ;Joined October 2019",America,"I saw on my local news that some hospitals are laying off people. I know my doctor’s office is laying off people. They (20 or so locations) are owned by the local hospital and there is no work being done there.
People in the hot spots are burned out. They are tired and whipped and sad beyond belief. I live where there is very little coronavirus. So where some medical personnel are getting laid off, the other areas are bedlam, filled with doctors and nurses pushed beyond belief.
I think we can expect another curve for when things start getting back to normal. A slow climb, a peak and then back to normal. At least I hope and pray so."
12,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Gisa-J%C3%A4hnichen,"#1054362975April 21, 2020 at 10:59:53 PM",Professor at Shanghai Conservatory of Music2016–present   ;Studied at Charles University in Prague   ;Lives in Shanghai   ;798.4K content views7.8K this month   ;Active in 1 Space   ;Joined August 2014,China,"Who, please, is meant with “we”? The world will lose doctors and nurses to the pandemy, maybe not only to burnout but to the disease itself, as they were confronted daily with the problem, while others were sitting in the background writing questions. The health care of each part of the world should instantly improve, mainly by better salaries, better equipment, better reputation."
13,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Keith-Higgins-34,"#1053873993April 21, 2020 at 12:29:20 PM",Former Retired Small Business Owner   ;57.2K content views1K this month   ;Joined January 2020,,"I don’t think our health care system in its many parts will ever recover fully. We are already losing health care professionals to “burn-out” in places like Chicago, Los Angeles and New York City."
14,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Suresh-Raina-122,"#1045954644April 13, 2020 at 6:16:10 PM","Former Surgeon Teachiing, Clinical and Management1979–2008   ;Studied SurgeryGraduated 1978   ;Lives in Aventura, FL2019–present   ;746.3K content views24.7K this month   ;Joined April 2018",America,"I would guess it would be a matter of a few weeks. Many doctors, nurses and other workers may need a break but I am sure they will all be back to work."
15,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Kurt-Gandenberger,"#1046443436April 14, 2020 at 4:16:38 AM",Former Former Physician1980–2014   ;1.1M content views45.5K this month   ;Joined February 2016,,"in much of the world you are losing doctors and nurses who are dying from the virus, especially when they are older or have intercurrent illnesses. the system will recover just as it always has. supplies and tempers may be short for a time (?months) but no changes are permanent."
16,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Thanh-Pham-293,"#1054325775April 21, 2020 at 10:21:10 PM","Former Was an Engineer in Orange County 1982–2010   ;BSEE in Digital Design Engineer & Business Marketing, San Diego State University   ;Lives in Westminster, CA2010–present   ;1.2M content views24.3K this month   ;Active in 12 Spaces   ;Joined June 2019",America,"They are our Americans heroes and our soldiers in the front line to fight the COVID-19 sacrifice their life for Americans democracy. The country has to united to teach China a lesson for Americans souls who deaths in the COVID19 can be happily to go with godgod to heaven
… (view more)"
17,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Axel-Carlson-2,"#1044161096April 12, 2020 at 12:00:14 AM","Former Musician then 8 yr Navy Vet during VietNam, MBA1966–1974   ;M.B.A in Accounting and Finance & Economics, National University San Diego   ;Lives in San Diego, CA1966–present   ;1.2M content views29.8K this month   ;Active in 6 Spaces   ;Joined January 2020",America,"I suppose the answers are determined by what you call “the healthcare system” Hospital trauma centers, also called emergency rooms, and hospital “walk in clinics” are certainly and completely physically and emotionally spent by this epidemic. However the system is a vastly larger system. And the great…
(more)"
18,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Jana-Lei-Macaya,"#1059375950April 26, 2020 at 5:40:40 PM","Medical Doctor at De La Salle University Medical Center2020–present   ;Lives in Silang, Cavite   ;355.2K content views8.3K this month   ;Knows Middle English   ;Joined April 2017",Philippines,"I can’t really say this but in our country we have a lot of doctors & nurses died. Not the same in other countries though. I hope that the health care system will just be more effective than it is now so that a lot will be recovered and no more deaths. In our country, there are lesser deaths recently than before which is a good sign. Let us just all pray that we won’t run out of doctors & nurses."
19,How long will it take the healthcare system to recover after the COVID-19 pandemic? Will we lose doctors/nurses to burnout?,https://www.quora.com/How-long-will-it-take-the-healthcare-system-to-recover-after-the-COVID-19-pandemic-Will-we-lose-doctors-nurses-to-burnout,Robert-Mucci-1,"#1042070401April 10, 2020 at 6:55:53 AM","Former Anthropologist P.T. in a local museum1995–2010   ;Studied Hotel ManagementGraduated 1963   ;Lives in Bowmanville, Ontario   ;3.9M content views95.5K this month   ;Active in 8 Spaces   ;Joined January 2018",Canada,"From what I understand that in most hospitals there is normally a lot of stress on a day to day bases. So in most cases the doctors and nursing staff can usually handle it. The stress will diminish the more the staff know and learn how to cope with this new virus and when more and equipment is available to them.
But we pray in the end we don't loss too many of them."
20,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Ji%C5%99%C3%AD-Kroc-2,"#1196398749September 4, 2020 at 11:41:43 PM","Independent Researcher in Complex Systems2018–present   ;Ph.D. in Complex Systems & Solid State Physics, Charles University in Prague   ;Lives in The Czech Republic   ;10M content views316.9K this month   ;Top Writer2018   ;Active in 45 Spaces   ;Knows Czech   ;Joined April 2017",Czech Republic,"Not an MD myself. Ne…
This suppresses clear, independent, and critical thinking: such people do critically thinking does not simply pass through the sieve.¶

Companies & states to are pouring tremendous amounts of money into dead-end research: one example would be amyloid plaques solving drugs they proved to be useless because the real cause was found in gut dysbiosis and not in the brain. The cost was billions of dollars.
Money is only on res…
To conclude: The health of patients is more important than any profit, fame, success, or pride of anyone else! People should force the ‘state' to change the current high sub-optimal set up of medical care and in this way to help MDs to provide better and more helping medical care. Bcare.
We all are on the sa…
… (view more)"
21,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Mark-Wolgin,"#1199720978September 8, 2020 at 10:12:27 AM","Orthopaedic Spine Surgeon at Orthopaedic Associates   ;Studied at David Geffen School of Medicine at UCLA   ;Lives in Albany, GA   ;287.7K content views8.6K this month   ;Joined May 2014",America,"Obviously, I can speak only for myself. There are many aspects of medicine that lead to burn out. Among them, increasing overhead, decreasing autonomy, and electronica medical records. Insurance companies make all the decisions with no liability, mainly to withhold care, for patients that they will n…
(more)"
22,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Mark-Johnson-2431,"#1187947182August 27, 2020 at 5:23:17 PM","Volunteer Homeless Shelter 2008–present   ;Studied Pre-Medical at University of California, Los Angeles   ;Lives in The United States of America   ;6.5M content views170.5K this month   ;Active in 3 Spaces   ;Joined September 2017",America,"Big question. Not a simple answer .
Doctors to survive and not fail with suicide or depression or drug addiction must maintain better boundaries to keep home and love and family and hobbies and their spirituality intact. They must seek counseling when they are failing. That counseling must not be abusive and the culture of the “ tough it out and independence “ must die forever. Doctors must be able to care for themselves. Not simple. Depends on the nation and culture and economic system.
Don’t ever have sex with your patients
Have and Keep a hobby for the rest of your life.
Have a group of doctors that are available to confidentially help a failing doctor."
23,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Ross-Pettit-1,"#1186535733August 26, 2020 at 8:47:16 AM","Personal Carer at Blue Care2016–present   ;Studied Nursing & Senior Care / Elderly CareGraduated 2020   ;Lives in Bribie, Queensland, Australia   ;870.2K content views29.6K this month   ;Active in 3 Spaces   ;Knows English   ;Joined February 2019",Australia,"The truth is doctors…
The video is not an extreme or parody, it’s the truth even if it is a little dated. Things have gotten worse.
Frankly if governments could sort their Medicare systems and extend funding for allied health programs, decriminalise and legalise cannabis safely, regulate opioids properly and reign in health insurance companies and the monopoly they have in certain sectors, thus instigating safe ratios for nurses to patients then maybe people would be better and healthier therefore reducing the strain on the system as a whole from birth to death.
… (view more)"
24,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Jay-Jokhan-1,"#1200793377September 9, 2020 at 10:34:32 AM",Lives in The United Kingdom1963–present   ;2.1M content views57.2K this month   ;Active in 2 Spaces   ;Joined April 2019,England,"There appears to be no way out of this present situation for them - The PHARMACEUTICAL industries and vaccines and medications have extended lives and created the false CARING INDUSTRIES for profit . I’m now 80 years old fit and healthy . But most are kept alive - I KNOW SO - with medications - in some cases of up to ten or more daily different meds !! Yes, together will all those born with very strong defects and with the aged , we are no more than CASH COWS for them all !"
25,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Albi-Qeli,"#1198585618September 7, 2020 at 6:39:40 AM",8.2K content views198 this month   ;Joined July 2019,,"Mostly by setting hard limits on the time available to do certain tasks. In practice this means less work and less money.
Technology does not help, in fact it is the cause of burnout. Relative to the old paper records, EHR’s generate more admin work and generally increase the BS factor."
26,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,William-Toole-6,"#1196718398September 5, 2020 at 7:15:54 AM",Clinical Team Leader   ;MSW from University of North Carolina at Chapel HillGraduated 1989   ;245.8K content views8K this month   ;Joined October 2018,America,"There is a time-honored tradition of working for a group practice, hospital, clinic, etc. that creates a framework you have to honor and becomes grueling; and then moving to a private practice model so you have far more control over how you practice."
27,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Marilyn-Hubbard-1,"#1196075419September 4, 2020 at 4:37:14 PM","MSN in Nursing (college major), Russell Sage College, Troy, NY   ;3.9M content views175.3K this month   ;Top Writer2018   ;Active in 1 Space   ;Joined June 2017   ;FR   ;Active in French1 answer",America,"I am an NP. Anyone working in the heath care field needs to consistently practice self care, and maintain boundaries with the word “no”. Exercise and a healthy diet with plenty of protein are not a theoretical thing to be practiced someday in the future. They are essential today. Go to bed on time. Th…
(more)"
28,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,William-Gorman-1,"#1197846346September 6, 2020 at 12:59:38 PM","Former CEO E-C Apparatus Corp an Instrument Maker1969–1991   ;B.S. (Two) from Lehigh University   ;Lived in Florida, Illinois, and Pennsylvania Registered Professional Engineer Actively Licensed   ;3.9M content views89.2K this month   ;Active in 2 Spaces   ;Joined December 2013",America,Some like our primary physician have gone to private pay to limit the number of patients to only those who can pay the yearly fee. Our insurances pick up any test charges or special charges such as flu shots but our doctor has reduced patient load and stress and is more available for us private pay people.
29,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Tarek-Gavin,"#1199694638September 8, 2020 at 9:27:10 AM","EMS at Emergency Medical Services (EMS)2002–present   ;Associate degree in Paramedicine & Emergency Medicine, Valencia Community Collage   ;463.9K content views11.3K this month   ;Joined September 2016",America,I’m not a doctor Miss I’m a paramedic for me and my brothers and sisters in EMS we have different way of coping Some workout Some drink But most of us rely on the love of our mates and family as our emotional anchor That keep us sane
30,"How are doctors fighting burnout so they don't have to quit medicine? What new schedules or routines, new technology, or other measures can be embraced to make the current practice of medicine less grinding and unsatisfying?",https://www.quora.com/How-are-doctors-fighting-burnout-so-they-dont-have-to-quit-medicine-What-new-schedules-or-routines-new-technology-or-other-measures-can-be-embraced-to-make-the-current-practice-of-medicine-less-grinding-and,Caroline-Sue-Magruder-Raybin,"#834294236September 11, 2019 at 12:47:43 AM",Former Pediatrican at TPMG1981–2011   ;Studied Archaeology (practical)Graduated 2016   ;1.2M content views20.7K this month   ;Joined March 2017,,I don’t know. I retired. I believed changes would need to be made on a systemic level. It seems impossible with the current business models.
31,Why is there a higher burnout rate for female doctors?,https://www.quora.com/Why-is-there-a-higher-burnout-rate-for-female-doctors,David-Ashley-Hill,"#1007840124March 4, 2020 at 10:17:18 AM",Medical Director AdventHealth Medical Group Ob/Gyn   ;Studied at Eckerd College   ;Lived in Central Florida   ;4.1M content views54.2K this month   ;Joined March 2017,America,"A survey of 15,000 physicians in 29 specialties revealed that about half of female physicians, and 38% of male physicians, report burnout (Medscape; lifestyle-burnout-depression; 2018). For disclosure, I am a clinical physician and physician leader who supervises physicians and midwives of both gend…
(more)"
32,Why is there a higher burnout rate for female doctors?,https://www.quora.com/Why-is-there-a-higher-burnout-rate-for-female-doctors,Christopher-Fox-14,"#889763022November 2, 2019 at 1:06:04 AM","Works at Shoreline Orthopaedics, Slidell LA   ;Studied at Louisiana State University Shreveport   ;Lived in Burtonsville, MD1961–1977   ;29.9M content views319.1K this month   ;Joined December 2014",America,"No. Most female physicians choose the less aggressive specialties. Pediatrics, internal medicine. Some specialties such as orthopedic surgery have few women.
What I have seen is that many women physicians cut down or leave practice upon having children. I have seen an ophthalmologist (only 1 year in practice), 2 pediatricians (both with physician husbands), and one general surgeon leave practice never to return. This is fully 1/2 of the female physicians I interacted with while practicing.
Most female physicians have a better work life balance than their male counterparts. So I believe there is less burn out."
33,Why do you think that physicians in public health and preventive medicine have the lowest burnout rates among doctors specialties?,https://www.quora.com/Why-do-you-think-that-physicians-in-public-health-and-preventive-medicine-have-the-lowest-burnout-rates-among-doctors-specialties,Jo%C3%A3o-Est%C3%AAv%C3%A3o-1,"#591524085January 19, 2019 at 10:55:28 AM",Studied Board-certified Internist & Intensive Care Medicine   ;Lives in Portugal   ;5.4M content views99.1K this month   ;Joined November 2015   ;PT   ;Active in Portuguese9 answers,Portugal,"- not that much work load
- no stress at all with their job
However, I’m in no way stating that they are not important! Au contraire, they play a very important role in our society!"
34,Why do you think that physicians in public health and preventive medicine have the lowest burnout rates among doctors specialties?,https://www.quora.com/Why-do-you-think-that-physicians-in-public-health-and-preventive-medicine-have-the-lowest-burnout-rates-among-doctors-specialties,Craig-1181,"#591210777January 19, 2019 at 1:00:27 AM","Medical Faculty/Career Paramedic Supervisor   ;B.A. B.S. in English Literature (Honours) & Communication, Ohio University   ;4.3M content views176.9K this month   ;Joined September 2017",America,"My thought would be that it’s related to lower stress. Dealing with acute illness, trauma, patients who aren’t compliant with treatment plans, etc, takes a toll on everyone in healthcare/medicine.
Additionally the pace of such fields as emergency medicine, trauma surgery, even private general practise wears on people."
35,How are doctors and nurses dealing with burnout related to the recent omicron variant?,https://www.quora.com/How-are-doctors-and-nurses-dealing-with-burnout-related-to-the-recent-omicron-variant,Thomas-Brand-5,"#1871864559December 19, 2021 at 10:52:50 PM",Studied at Mississippi State University   ;354.6K content views37.6K this month   ;Joined September 2014,,"Not any hospitalization related to omicron, which is sort of benign so far.
But there’s a lot of general issues that are contributing to burnout in the industry.
The ways you deal with it are the usual. The last year or two have been brutal. I’m seeing first year nurses say ‘screw this!’ and find another career, which is a new thing in my experience."
36,How are doctors and nurses dealing with burnout related to the recent omicron variant?,https://www.quora.com/How-are-doctors-and-nurses-dealing-with-burnout-related-to-the-recent-omicron-variant,Jawahar-Narang-1,"#1872906136December 20, 2021 at 3:32:46 PM","Former Self Employed at Writer (software)2018–2021   ;Studied at Panjab University, ChandigarhGraduated 1974   ;Lives in Bengaluru, Karnataka, India2006–present   ;74.7K content views23K this month   ;Active in 10 Spaces   ;Knows English   ;Joined November 2021",India,They are trained like that to handle the situation nicely and with pockets burn out as necessary protocol for them.they never ever change their rules for any one.
37,"Is burnout real for those on the front line in terms of healthcare, like doctors, nurses, and aides? What do they typically do to resolve this reality?",https://www.quora.com/Is-burnout-real-for-those-on-the-front-line-in-terms-of-healthcare-like-doctors-nurses-and-aides-What-do-they-typically-do-to-resolve-this-reality,Jessica-Brown-2127,"#1019314041March 17, 2020 at 6:14:00 PM","B.S from Taylor UniversityGraduated 2004   ;Lives in Indianapolis, IN   ;60.9K content views3.5K this month   ;Joined May 2018",America,Burnout is a fallacy created by the medical profession to explain mental illness and incompetence. If there was burnout there wouldn’t be so many unnecessary procedures for personal gain.
38,"Is burnout real for those on the front line in terms of healthcare, like doctors, nurses, and aides? What do they typically do to resolve this reality?",https://www.quora.com/Is-burnout-real-for-those-on-the-front-line-in-terms-of-healthcare-like-doctors-nurses-and-aides-What-do-they-typically-do-to-resolve-this-reality,Charles-Rebello-1,"#1020364415March 18, 2020 at 8:21:47 PM",Former Web Design and 3d Animation at Identities1996–2019   ;Studied Stuff at Earth (planet)   ;Lived in Here1900–2019   ;1.8M content views56K this month   ;Joined August 2018,,"I figured this would already have some good answers, thought i wouldn't have to type, but of course there's one that's utterly ridiculous or didn't quite make the sense of humor part clear. There's probably no need to respond to that one, common sense can easily kick its ass. However, there's someth…
(more)"
39,"Is burnout real for those on the front line in terms of healthcare, like doctors, nurses, and aides? What do they typically do to resolve this reality?",https://www.quora.com/Is-burnout-real-for-those-on-the-front-line-in-terms-of-healthcare-like-doctors-nurses-and-aides-What-do-they-typically-do-to-resolve-this-reality,Gia-Daniel,"#1019395537March 17, 2020 at 8:26:05 PM","Registered Nurse since the Twentieth Century   ;Studied at University of the District of Columbia   ;Lives in Washington, DC   ;15.3M content views569.2K this month   ;Active in 7 Spaces   ;Joined September 2016   ;ES   ;Active in Spanish9 answers",America,"Oh, it is definitely real.
Vacations can help, nurses and aides can switch specialty, and far too many are committing suicide or falling into alcohol and other addictions. By the time that it is realized and acknowledged that one is suffering from burnout, the damage is already severe and often irredeemable.
You see, we pride ourselves on our compassion, our skills, and our dedication. No one beats us up emotionally and professionally with the same low blows and deadly thrusts as we do ourselves. Burnout hits us in our concept of who we are, being as much a part of our very being as is our gender identity and our self-views. It’s a slo-mo amputation.
There are classes that can help, but “ain’t nobody got the time for that!”
NIOSH Workplace Safety and Health Topic"
